Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unidade Relato Nível 6;Unid Digitação Nível 6;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Código Subclasse Nat Sec1;Tentado/Consumado Nat Sec1;Código Subclasse Nat Sec2;Tentado/Consumado Nat Sec2;Código Subclasse Nat Sec3;Tentado/Consumado Nat Sec3;ALVO;Descrição Meio Utilizado;Data Comunicação Fato;Horário Comunicação Fato;Data Fato;Horário Fato;Data Última Atualização;Logradouro Ocorrência - Tipo;Logradouro Ocorrência;Logradouro Ocorrência Não Cadastrado;Logradouro Cruzamento;Logradouro Cruzamento Não Cadastrado;Número Logradouro;Bairro;Bairro Não Cadastrado;Complemento Endereço;Ponto de Referência;Município;Latitude;Longitude;Matrícula Digitador;Matrícula Relator;Qtde Ocorrências
2019-035568253-001;POLICIA MILITAR;2 GP/3 PEL/51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Residência;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;25/07/2019;17:00:00;24/07/2019;23:00:00;27/07/2019;POVOADO;VIEIRAS;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;SÍTIO;BAR DO DÉ;ITATIAIUCU;-20,14666670;-44,35636110;PM1185644;1185644;1
2019-047692929-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Outros;CONHECIMENTO TECNICO ESPECIFICO;30/09/2019;08:30:00;29/09/2019;10:00:00;02/10/2019;POVOADO;VIEIRAS;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;ITATIAIUCU;-20,16177640;-44,35828960;PM1459353;1459353;1
2019-007879330-001;POLICIA MILITAR;2 GP/3 PEL/51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Motorista;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;19/02/2019;13:20:00;19/02/2019;11:30:00;21/02/2019;RUA;SAO LUIZ;;PREENCHIMENTO OPCIONAL;;274.000;CONDOMINIO CAPOEIRA;;;;ITATIAIUCU;-20,18393240;-44,37665950;PM1700780;1700780;1
2019-009156414-001;POLICIA MILITAR;2 GP/3 PEL/51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Residência;MEIO DESCONHECIDO;26/02/2019;17:10:00;26/02/2019;17:10:00;28/02/2019;POVOADO;PINHEIROS;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;RUA SAO JOAO 58;;ITATIAIUCU;-20,18027780;-44,37861110;PM1370782;1370782;1
2019-025886610-001;POLICIA MILITAR;2 GP/3 PEL/51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Outros;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;31/05/2019;17:00:00;31/05/2019;12:00:00;04/06/2019;POVOADO;PINHEIROS;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;Paulo da Grama;ITATIAIUCU;-20,18027780;-44,37861110;PM1700780;1700780;1
2019-026355263-001;POLICIA MILITAR;2 GP/3 PEL/51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Comércio;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;05/06/2019;08:30:00;05/06/2019;08:30:00;07/06/2019;PRACA;PINHEIROS;;PREENCHIMENTO OPCIONAL;;0.00000;INVÁLIDO;POVOADO PINHEIROS;;;ITATIAIUCU;-20,18027780;-44,37861110;PM1489400;1489400;1
2019-037104490-001;POLICIA MILITAR;2 GP/3 PEL/51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Residência;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;03/08/2019;15:50:00;01/08/2019;02:00:00;05/08/2019;POVOADO;PINHEIROS;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;ITATIAIUCU;-20,18027780;-44,37861110;PM1459353;1459353;1
2019-046990778-001;POLICIA MILITAR;2 GP/3 PEL/51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Comércio;MEIO DESCONHECIDO;26/09/2019;07:31:00;26/09/2019;07:30:00;28/09/2019;ESTRADA;PINHEIROS, REGIAO;;PREENCHIMENTO OPCIONAL;;1;INVÁLIDO;;;JAZIDA LAGOA DAS FLORES/MINERITA;ITATIAIUCU;-20,18027780;-44,37861110;PM1506229;1506229;1
2019-047916922-001;POLICIA CIVIL;51 CIA PM/23 BPM/7 RPM;DELEGACIA DE POLICIA CIVIL/ITAUNA;DELEGACIA DE POLICIA CIVIL/ITAUNA;DELEGACIA DE POLICIA CIVIL/ITAUNA;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Residência;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;01/10/2019;10:15:00;13/02/2019;20:00:00;03/10/2019;RUA;SANTO ANTONIO;;PREENCHIMENTO OPCIONAL;;684;RETIRO COLONIAL;;;;ITATIAIUCU;-20,17298780;-44,37861380;PC764401;764401;1
2019-003054638-001;POLICIA MILITAR;2 GP/3 PEL/51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;B01121;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Diversos;ATO DE SUFOCAR, ENFORCAR, ESTRANGULAR OU ESGA;20/01/2019;21:00:00;20/01/2019;21:00:00;22/01/2019;PRACA;NOSSA SENHORA APARECIDA;;PREENCHIMENTO OPCIONAL;;50.0000;POVOADO DE PINHEIROS;Pinheiros;;;ITATIAIUCU;-20,17908200;-44,37886350;PM1425669;1425669;1
2019-012212866-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Comércio;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;16/03/2019;07:20:00;16/03/2019;03:00:00;18/03/2019;RODOVIA;BR 381;;PREENCHIMENTO OPCIONAL;;535;POVOADO DE PINHEIROS;;;Dom Pedro;ITATIAIUCU;-20,18332780;-44,37973670;PM1700780;1700780;1
2019-014264083-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Bens em Interior de Veículo;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;28/03/2019;04:30:00;28/03/2019;04:30:00;30/03/2019;RODOVIA;BR 381;;PREENCHIMENTO OPCIONAL;;535;POVOADO DE PINHEIROS;;;;ITATIAIUCU;-20,18332780;-44,37973670;PM1425669;1699172;1
2019-019223118-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Motorista;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;25/04/2019;08:50:00;25/04/2019;02:00:00;27/04/2019;RODOVIA;BR 381;;PREENCHIMENTO OPCIONAL;;535;POVOADO DE PINHEIROS;;;;ITATIAIUCU;-20,18332780;-44,37973670;PM1304849;1304849;1
