Nº chamada;Data/hora de criação;Local do fato;Latitude  do local;Longitude do local;Natureza;Unidade Responsável;Recursos empenhados;Alerta;Destaque;Envolve autoridade;Tipo de classificação;Situação;Data/hora da situação atual
2020-09954260-4;20/03/2020 23:24;AVENIDA BARAO INDAIA, Nº 655 - CENTRO - ABAETE;-191.569.124;-454.432.448;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);141 CIA PM/7 BPM/7 RPM;25927;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 06:07
2020-09962878-2;21/03/2020 19:20;RUA PADRE EUSTAQUIO, Nº 1040 - DONA ROSA - DIVINOPOLIS;-201.661.239;-448.544.273;G01330 - DESOBEDIENCIA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;28874;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 20:16
2020-09962943-2;21/03/2020 19:24;RUA ESMERALDA, Nº 268 - NITEROI - DIVINOPOLIS;-201.411.293;-448.748.013;G01330 - DESOBEDIENCIA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;26545 / 26541;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 20:14
2020-09962972-0;21/03/2020 19:24;RUA DOUTOR MIGUEL GONTIJO, Nº 266 - CENTRO - BOM DESPACHO;-197.397.095;-452.536.953;Y11011 - APOIO A OUTROS ORGAOS (C) (Prioridade: 3 - Baixa);COPOM/7 BPM/7 RPM;28605 / 28587;Não;Não;Não;RAT;Classificada;21/03/2020 21:41
2020-09963008-6;21/03/2020 19:31;RUA JOSE DEMETRIO COELHO, Nº 1 - CENTRO - CARMO DO CAJURU;-201.843.663;-447.776.861;G01330 - DESOBEDIENCIA (C) (Prioridade: 3 - Baixa);3 PEL/142 CIA PM/23 BPM/7 RPM;25669;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 21:06
2020-09963045-2;21/03/2020 19:33;AVENIDA SANTA LUCIA, Nº 591 - MARIA HELENA - DIVINOPOLIS;-201.515.785;-448.611.087;G01330 - DESOBEDIENCIA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;26545 / 26541;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 21:02
2020-09963123-4;21/03/2020 19:38;AVENIDA AMAZONAS, Nº 613 - CATALAO - DIVINOPOLIS;-201.549.549;-449.009.335;G01330 - DESOBEDIENCIA (C) (Prioridade: 3 - Baixa);139 CIA PM/23 BPM/7 RPM;28792;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 20:49
2020-09963187-7;21/03/2020 19:43;RUA PADRE EUSTAQUIO, Nº 1081 - SAGRADA FAMILIA - DIVINOPOLIS;-201.661.823;-448.537.311;G01330 - DESOBEDIENCIA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;28874;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 20:43
2020-09963317-0;21/03/2020 19:52;RUA NOSSA SENHORA APARECIDA / RUA DELFINOPOLIS - DIVINOPOLIS;-201.475.169;-449.067.272;G01330 - DESOBEDIENCIA (C) (Prioridade: 3 - Baixa);139 CIA PM/23 BPM/7 RPM;28793 / 28733;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 20:38
2020-09963443-5;21/03/2020 20:03;AVENIDA JK, Nº 184 - VILA SANTO ANDRE - DIVINOPOLIS;-201.360.416;-448.838.027;G01330 - DESOBEDIENCIA (C) (Prioridade: 3 - Baixa);53 CIA PM/23 BPM/7 RPM;28710;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 20:54
2020-09963505-0;21/03/2020 20:06;RUA ALEXANDRINA FIGUEIREDO, Nº 2230 - JUSA FONSECA - DIVINOPOLIS;-201.748.095;-448.680.385;G01330 - DESOBEDIENCIA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;28874;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 21:40
2020-09963506-3;21/03/2020 20:06;RUA FRANCISCO ARAUJO LOPES CANCADO, Nº 98 - SAO JOSE - BOM DESPACHO;-197.504.873;-452.550.549;A05000 - AVERIGUA PESSOA / VEICULO EM ATITUDE SUSPEITA (C) (Prioridade: 1 - Alta);COPOM/7 BPM/7 RPM;28867;Não;Não;Não;W99000-OUTROS TIPOS DE ROTINAS ADMINISTRATIVAS;Classificada;21/03/2020 20:27
2020-09963516-7;21/03/2020 20:09;RUA CONQUISTA / AVENIDA SETE DE SETEMBRO - DIVINOPOLIS;-201.305.222;-448.868.597;G01330 - DESOBEDIENCIA (C) (Prioridade: 3 - Baixa);53 CIA PM/23 BPM/7 RPM;28879;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 20:48
2020-09963595-3;21/03/2020 20:15;RUA SANTO ANTONIO DO MONTE, Nº 306 - ROSARIO - BOM DESPACHO;-197.450.002;-452.665.078;A05000 - AVERIGUA PESSOA / VEICULO EM ATITUDE SUSPEITA (C) (Prioridade: 1 - Alta);COPOM/7 BPM/7 RPM;28072;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 20:18
2020-09963765-1;21/03/2020 20:29;PRACA MATRIZ, Nº 140 - BOM DESPACHO;-197.370.674;-452.520.829;E08042 - PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS (C) (Prioridade: 3 - Baixa);COPOM/7 BPM/7 RPM;28735;Não;Não;Não;W99000-OUTROS TIPOS DE ROTINAS ADMINISTRATIVAS;Classificada;21/03/2020 20:54
2020-09963975-4;21/03/2020 20:48;RUA PEDRO MARTINS MACHADO, Nº 301 - SANTA LUCIA - DIVINOPOLIS;-20.165.541;-448.406.721;E01268 - INFRACAO DE MEDIDA SANITARIA PREVENTIVA (C) (Prioridade: 3 - Baixa);142 CIA PM/23 BPM/7 RPM;;Não;Não;Não;W09000-CANCELADA POR ORDEM DO ORGAO DE COORDENACAO E CONTROL;Classificada;21/03/2020 21:01
2020-09964753-8;21/03/2020 21:56;RUA SANTA CATARINA, Nº 767 - SANTO ANTONIO - DIVINOPOLIS;-201.390.229;-448.999.062;B01147 - AMEACA (C) (Prioridade: 1 - Alta);53 CIA PM/23 BPM/7 RPM;28703;Não;Não;Não;BOLETIM DE OCORRENCIA / BOS;Classificada;21/03/2020 22:39
