UF;MUNICÍPIO;TOTAL;AUTOMÓVEL;BONDE;CAMINHÃO;CAMINHÃO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAFAFORMA;CICLOMOTOR;MICRO-ÔNIBUS;MOTOCICLETA;MOTONETA;ÔNIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEIRA;TRATOR RODAS;TRICICLO;UTILITÁRIO;ANO
AC;ACRELANDIA;174;43;0;19;1;2;25;0;0;0;73;5;4;0;1;1;0;0;0;0;0;0;2001
AC;ASSIS BRASIL;49;16;0;5;0;0;7;0;0;0;16;5;0;0;0;0;0;0;0;0;0;0;2001
AC;BRASILEIA;723;159;0;35;1;10;68;0;0;0;283;163;1;0;1;2;0;0;0;0;0;0;2001
AC;BUJARI;42;11;0;6;0;1;8;0;0;2;12;2;0;0;0;0;0;0;0;0;0;0;2001
AC;CAPIXABA;40;16;0;3;0;1;6;0;0;0;12;1;0;0;0;1;0;0;0;0;0;0;2001
AC;CRUZEIRO DO SUL;3321;935;0;154;0;70;405;2;0;9;1363;369;13;0;1;0;0;0;0;0;0;0;2001
AC;EPITACIOLANDIA;312;88;0;21;0;4;30;0;0;0;112;55;2;0;0;0;0;0;0;0;0;0;2001
AC;FEIJO;275;23;0;12;0;7;18;0;0;0;159;56;0;0;0;0;0;0;0;0;0;0;2001
AC;MANCIO LIMA;204;33;0;7;0;3;17;0;0;0;135;7;2;0;0;0;0;0;0;0;0;0;2001
AC;MANOEL URBANO;18;5;0;0;0;2;1;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;2001
AC;PLACIDO DE CASTRO;256;100;0;19;2;2;36;0;0;0;82;14;0;0;0;1;0;0;0;0;0;0;2001
AC;PORTO ACRE;61;19;0;6;0;1;13;0;0;1;20;1;0;0;0;0;0;0;0;0;0;0;2001
AC;RIO BRANCO;39796;17829;0;2203;182;1342;5230;12;4;69;9723;2255;320;0;392;228;1;4;0;1;0;1;2001
AC;SENA MADUREIRA;552;143;0;23;0;41;52;0;0;1;181;110;1;0;0;0;0;0;0;0;0;0;2001
AC;SENADOR GUIOMARD;483;187;0;51;0;7;72;0;0;0;115;47;0;0;4;0;0;0;0;0;0;0;2001
AC;TARAUACA;424;30;0;10;0;4;19;0;0;0;230;131;0;0;0;0;0;0;0;0;0;0;2001
AC;XAPURI;273;77;0;10;0;4;30;0;0;0;124;27;0;0;1;0;0;0;0;0;0;0;2001
AL;ARAPIRACA;23145;8242;0;1692;151;323;2922;1;0;163;7197;1908;205;0;172;160;3;3;0;0;0;3;2001
AL;ATALAIA;3186;1678;0;402;11;48;497;1;0;67;300;24;63;0;52;42;0;0;0;0;0;1;2001
AL;BOCA DA MATA;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2001
AL;CAJUEIRO;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2001
AL;CAMPO GRANDE;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2001
AL;CORURIPE;2906;975;0;242;10;107;290;0;0;32;725;81;102;0;198;144;0;0;0;0;0;0;2001
AL;DELMIRO GOUVEIA;6899;2757;0;395;36;82;1223;2;0;115;2139;65;22;0;13;50;0;0;0;0;0;0;2001
AL;GIRAU DO PONCIANO;2478;617;0;133;0;23;364;0;0;28;1212;66;27;0;6;1;0;1;0;0;0;0;2001
AL;MACEIO;108440;78296;0;3660;458;2737;9285;62;10;504;8707;612;1291;1;2022;736;11;18;0;2;1;27;2001
AL;MATRIZ DE CAMARAGIBE;4582;1936;0;650;7;48;952;0;0;116;466;18;90;0;259;40;0;0;0;0;0;0;2001
AL;PALMEIRA DOS INDIOS;7890;3309;0;484;9;75;1114;0;0;124;2442;160;75;0;74;21;1;1;0;0;0;1;2001
AL;PENEDO;5749;2562;0;468;30;119;576;0;0;38;1525;133;115;0;121;60;0;2;0;0;0;0;2001
AL;PORTO DE PEDRAS;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2001
