UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO;ANO
AC;ACRELANDIA;5004;1085;0;230;16;496;40;0;1;8;2709;312;43;0;37;21;0;0;0;0;0;6;2016
AC;ASSIS BRASIL;1404;240;0;28;0;106;15;0;2;2;897;104;2;0;7;0;0;0;0;0;0;1;2016
AC;BRASILEIA;7736;1835;0;234;74;858;71;0;5;4;3564;888;17;0;48;116;0;0;0;0;3;19;2016
AC;BUJARI;1741;517;0;107;9;224;19;0;9;4;774;35;12;0;18;10;0;0;0;0;2;1;2016
AC;CAPIXABA;1754;494;0;77;2;200;16;0;2;1;812;112;13;0;19;5;0;0;0;0;0;1;2016
AC;CRUZEIRO DO SUL;27807;5524;0;710;59;2267;265;1;30;59;13323;5267;66;0;26;106;0;1;0;0;12;91;2016
AC;EPITACIOLANDIA;5131;1314;0;214;104;598;64;0;2;2;2004;617;14;0;60;125;0;0;0;0;2;11;2016
AC;FEIJO;3086;491;0;109;4;299;31;0;20;2;1623;472;6;0;9;8;0;0;0;0;3;9;2016
AC;JORDAO;86;9;0;3;0;10;0;0;0;0;42;22;0;0;0;0;0;0;0;0;0;0;2016
AC;MANCIO LIMA;3100;490;0;79;5;248;17;0;1;3;1791;441;11;0;1;9;0;0;0;0;0;4;2016
AC;MANOEL URBANO;868;178;0;48;0;106;5;0;2;0;415;85;5;0;23;0;0;0;0;0;0;1;2016
AC;MARECHAL THAUMATURGO;286;8;0;10;0;25;0;0;0;0;207;28;8;0;0;0;0;0;0;0;0;0;2016
AC;PLACIDO DE CASTRO;4030;1132;0;145;12;378;40;0;5;3;1925;316;16;0;33;13;3;0;0;0;6;3;2016
AC;PORTO ACRE;3208;697;0;171;5;339;35;0;4;1;1771;118;35;0;24;6;0;2;0;0;0;0;2016
AC;PORTO WALTER;214;3;0;9;0;18;0;0;0;0;152;28;4;0;0;0;0;0;0;0;0;0;2016
AC;RIO BRANCO;164251;61955;0;4125;471;15890;3264;8;380;224;62738;10291;718;0;2266;800;55;19;0;2;120;925;2016
AC;RODRIGUES ALVES;1236;132;0;16;1;70;2;0;1;0;805;199;7;0;0;1;0;0;0;0;0;2;2016
AC;SANTA ROSA DO PURUS;141;14;0;4;0;16;0;0;0;0;86;15;3;0;3;0;0;0;0;0;0;0;2016
AC;SENA MADUREIRA;7046;1269;0;97;5;687;46;0;15;5;3585;1263;8;0;44;5;0;0;0;0;2;15;2016
AC;SENADOR GUIOMARD;5907;1793;0;344;30;654;56;0;10;9;2477;354;29;0;90;38;1;0;0;0;3;19;2016
AC;TARAUACA;4041;476;0;138;8;317;42;0;8;20;1989;967;25;0;11;10;0;0;0;0;9;21;2016
AC;XAPURI;3479;699;0;70;3;308;18;1;1;4;2077;255;5;0;28;4;1;0;0;0;0;5;2016
AL;AGUA BRANCA;3641;804;0;71;2;484;33;0;0;73;2020;121;11;0;13;8;0;0;0;0;0;1;2016
AL;ANADIA;2399;852;0;43;1;114;76;0;0;42;999;183;38;0;41;9;0;0;0;0;0;1;2016
AL;ARAPIRACA;94237;29272;0;2883;395;6164;1556;1;29;390;37190;13258;379;0;1493;807;10;3;0;0;27;380;2016
AL;ATALAIA;5652;3118;0;200;15;249;148;1;0;47;1262;100;138;0;306;58;0;0;0;0;2;8;2016
AL;BARRA DE SANTO ANTONIO;1720;782;0;31;1;94;39;0;0;4;641;38;22;0;53;10;0;0;0;0;0;5;2016
AL;BARRA DE SAO MIGUEL;1428;710;0;29;1;88;37;0;1;4;454;28;9;0;43;10;0;0;0;0;1;13;2016
