UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO;ANO
UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO;2019
AC;ACRELANDIA;5953;1291;0;308;26;612;50;0;2;10;3133;367;42;0;63;39;0;0;0;0;0;10;2019
AC;ASSIS BRASIL;1732;311;0;24;0;139;18;0;2;3;1100;119;3;0;12;0;0;0;0;0;0;1;2019
AC;BRASILEIA;9428;2226;0;272;117;1115;82;0;5;5;4327;949;19;0;107;170;0;0;0;0;3;31;2019
AC;BUJARI;2081;604;0;120;28;257;14;0;7;4;929;47;12;0;22;33;0;0;0;0;1;3;2019
AC;CAPIXABA;2136;597;0;84;2;228;28;0;5;3;1026;122;16;0;21;3;0;0;0;0;0;1;2019
AC;CRUZEIRO DO SUL;32731;6617;0;735;71;2774;308;1;32;59;15275;6476;78;0;40;150;0;1;0;0;10;104;2019
AC;EPITACIOLANDIA;6304;1685;0;253;118;805;76;0;3;6;2388;694;16;0;97;143;0;0;0;0;2;18;2019
AC;FEIJO;3744;551;0;115;5;338;31;0;33;1;2016;607;12;0;11;8;0;0;0;0;4;12;2019
AC;JORDAO;119;12;0;5;0;13;1;0;0;0;60;28;0;0;0;0;0;0;0;0;0;0;2019
AC;MANCIO LIMA;3632;593;0;94;4;301;27;0;1;5;2062;516;16;0;1;5;0;0;0;0;0;7;2019
AC;MANOEL URBANO;1110;221;0;49;2;140;6;0;2;0;552;99;6;0;25;6;0;0;0;0;0;2;2019
AC;MARECHAL THAUMATURGO;351;7;0;13;0;32;0;0;0;0;256;34;9;0;0;0;0;0;0;0;0;0;2019
AC;PLACIDO DE CASTRO;4672;1272;0;152;14;499;43;0;7;5;2185;376;27;0;61;17;3;0;0;0;6;5;2019
AC;PORTO ACRE;3654;778;0;174;5;404;41;0;6;2;2019;140;47;0;28;6;0;2;0;0;0;2;2019
AC;PORTO WALTER;302;4;0;9;0;27;0;0;0;0;210;46;5;0;0;0;0;0;0;0;0;1;2019
AC;RIO BRANCO;186054;68753;0;4242;495;17505;3516;8;477;232;71839;13196;831;0;2783;855;55;23;0;3;129;1112;2019
AC;RODRIGUES ALVES;1523;175;0;17;2;107;2;0;1;1;943;264;8;0;0;1;0;0;0;0;0;2;2019
AC;SANTA ROSA DO PURUS;174;15;0;4;0;21;0;0;0;0;113;15;3;0;3;0;0;0;0;0;0;0;2019
AC;SENA MADUREIRA;8396;1443;0;114;6;866;48;0;19;4;4299;1500;10;0;60;11;0;0;0;0;2;14;2019
AC;SENADOR GUIOMARD;6789;2075;0;355;55;742;66;0;17;9;2802;414;36;0;127;72;1;0;0;0;3;15;2019
AC;TARAUACA;4855;574;0;156;15;382;48;0;6;21;2365;1206;23;0;16;16;0;0;0;0;10;17;2019
AC;XAPURI;4177;800;0;74;4;386;24;1;3;5;2516;302;6;0;38;6;1;0;0;0;2;9;2019
AL;AGUA BRANCA;4337;1032;0;121;2;542;40;0;17;88;2297;135;27;0;24;10;0;0;0;0;0;2;2019
AL;ANADIA;2816;1048;0;46;1;155;87;0;1;36;1140;192;47;0;48;7;0;0;0;0;0;8;2019
AL;ARAPIRACA;110565;34039;0;3017;462;7037;1955;1;1202;406;43651;14845;484;0;1953;903;10;3;0;0;38;559;2019
AL;ATALAIA;6703;3621;0;208;13;270;172;0;64;44;1561;126;162;0;388;58;0;0;0;0;2;14;2019
AL;BARRA DE SANTO ANTONIO;2146;916;0;31;2;106;45;0;117;8;751;57;26;0;67;14;0;0;0;0;0;6;2019
AL;BARRA DE SAO MIGUEL;1909;830;0;26;1;117;43;0;177;3;579;36;12;0;57;11;0;0;0;0;2;15;2019
AL;BATALHA;3803;1160;0;136;11;229;30;0;0;54;1818;256;21;0;57;18;0;0;0;0;1;12;2019
AL;BELEM;1167;337;0;9;0;64;21;0;0;22;643;31;8;0;27;5;0;0;0;0;0;0;2019
AL;BELO MONTE;766;182;0;34;0;60;8;0;0;23;435;14;7;0;1;1;0;0;0;0;0;1;2019
AL;BOCA DA MATA;5651;1936;0;205;23;262;83;0;1;79;2219;501;100;0;164;70;0;0;0;0;1;7;2019
AL;BRANQUINHA;1441;424;0;31;0;83;19;0;7;22;778;26;21;0;25;5;0;0;0;0;0;0;2019
AL;CACIMBINHAS;2106;592;0;84;0;131;23;0;0;41;1100;69;13;0;33;13;0;0;0;0;0;7;2019
AL;CAJUEIRO;2984;1079;0;90;2;126;53;0;7;10;1287;148;51;0;105;19;0;0;0;0;1;6;2019
AL;CAMPESTRE;647;276;0;39;1;46;33;0;0;55;147;16;9;0;20;2;0;0;0;0;1;2;2019
AL;CAMPO ALEGRE;5032;1924;0;130;46;286;79;2;13;111;1641;414;157;0;138;83;0;2;0;0;1;5;2019
AL;CAMPO GRANDE;2456;534;0;48;0;129;11;0;0;17;1579;100;21;0;9;4;0;0;0;0;0;4;2019
AL;CANAPI;2664;693;0;70;1;230;18;0;3;86;1423;83;25;0;25;5;0;0;0;0;1;1;2019
AL;CAPELA;2065;814;0;68;3;97;48;0;8;5;800;57;66;0;73;22;0;0;0;0;0;4;2019
AL;CARNEIROS;1200;320;0;32;3;87;12;0;0;18;664;25;10;0;20;6;0;0;0;0;0;3;2019
AL;CHA PRETA;1267;307;0;29;1;104;17;0;0;11;758;13;6;0;14;4;0;0;0;0;0;3;2019
AL;COITE DO NOIA;2729;629;0;84;0;142;19;0;1;11;1642;147;26;0;19;5;0;0;0;0;4;0;2019
AL;COLONIA LEOPOLDINA;1710;730;0;101;3;137;63;0;0;33;545;37;35;0;22;2;0;0;0;0;0;2;2019
AL;COQUEIRO SECO;1050;466;0;10;0;46;17;0;29;4;439;6;9;0;17;6;0;0;0;0;0;1;2019
AL;CORURIPE;13383;4065;0;379;47;966;168;0;104;78;5277;1352;236;0;479;187;0;0;0;0;1;44;2019
AL;CRAIBAS;5662;1658;0;229;8;406;58;0;15;39;2654;475;37;0;55;20;0;0;0;0;0;8;2019
AL;DELMIRO GOUVEIA;20635;7479;0;760;41;1704;306;1;333;484;7802;1238;117;0;199;98;0;0;0;0;10;63;2019
AL;DOIS RIACHOS;2681;638;0;86;2;157;44;0;0;22;1570;88;12;0;41;18;1;0;0;0;0;2;2019
AL;ESTRELA DE ALAGOAS;3435;990;0;58;1;249;30;0;1;89;1819;104;26;0;46;14;0;0;0;0;0;8;2019
AL;FEIRA GRANDE;4842;989;0;112;4;396;29;0;6;6;2677;541;51;0;18;8;1;0;0;0;0;4;2019
AL;FELIZ DESERTO;624;220;0;14;0;51;7;0;2;6;259;34;9;0;15;7;0;0;0;0;0;0;2019
AL;FLEXEIRAS;1475;649;0;37;0;91;27;0;0;23;523;23;48;0;33;17;0;0;0;0;1;3;2019
AL;GIRAU DO PONCIANO;8616;2418;0;219;5;523;92;0;5;70;4512;588;94;0;61;15;0;0;0;0;1;13;2019
AL;IBATEGUARA;2175;691;0;52;1;164;32;0;0;70;1011;96;20;0;26;4;0;0;0;0;0;8;2019
AL;IGACI;5461;1616;0;145;0;379;49;0;1;125;2683;337;39;0;58;25;0;0;0;0;0;4;2019
AL;IGREJA NOVA;4513;922;0;82;5;157;23;0;15;23;2824;256;109;0;49;43;0;1;0;0;0;4;2019
AL;INHAPI;4175;953;0;82;9;345;26;0;1;24;2418;247;10;0;43;13;0;0;0;0;0;4;2019
AL;JACARE DOS HOMENS;949;305;0;40;1;56;6;0;0;13;473;21;17;0;13;3;0;0;0;0;0;1;2019
AL;JACUIPE;611;212;0;14;0;42;29;0;1;22;257;5;20;0;8;0;0;0;0;0;1;0;2019
AL;JAPARATINGA;1367;596;0;23;0;87;39;0;21;22;505;24;13;0;21;8;0;0;0;0;0;8;2019
AL;JARAMATAIA;854;317;0;29;4;76;7;0;0;14;357;28;7;0;6;7;0;0;0;0;0;2;2019
AL;JEQUIA DA PRAIA;1325;436;0;40;5;101;13;0;7;7;586;30;46;0;40;9;0;0;0;0;0;5;2019
AL;JOAQUIM GOMES;2492;922;0;113;4;204;42;0;1;29;980;34;86;0;55;18;0;0;0;0;1;3;2019
AL;JUNDIA;616;242;0;15;0;42;26;0;0;7;254;5;13;0;11;1;0;0;0;0;0;0;2019
AL;JUNQUEIRO;5633;1517;0;187;57;385;49;1;7;24;2356;667;116;0;170;88;3;0;0;0;0;6;2019
AL;LAGOA DA CANOA;4905;1354;0;101;5;297;40;0;8;29;2562;401;38;0;41;18;0;0;0;0;0;11;2019
AL;LIMOEIRO DE ANADIA;5133;1259;0;161;4;444;58;1;17;27;2404;605;65;0;69;16;0;0;0;0;0;3;2019
AL;MACEIO;348821;196316;0;7627;1210;23433;14055;17;4488;1234;76227;5168;2274;1;8066;3469;18;41;0;11;112;5054;2019
AL;MAJOR ISIDORO;3443;992;0;109;30;213;39;0;0;32;1772;97;33;0;52;62;0;0;0;0;0;12;2019
AL;MAR VERMELHO;944;238;0;14;0;45;12;0;0;2;584;27;9;0;11;1;0;0;0;0;0;1;2019
AL;MARAGOGI;4143;1817;0;92;1;319;167;0;84;181;1146;161;49;0;84;8;0;1;0;0;2;31;2019
AL;MARAVILHA;2126;602;0;65;1;140;16;0;0;54;1158;37;11;0;36;5;0;1;0;0;0;0;2019
AL;MARECHAL DEODORO;11591;5667;0;299;27;717;399;0;610;77;2648;217;189;0;460;122;0;0;0;0;13;146;2019
AL;MARIBONDO;2777;1051;0;71;3;218;54;0;19;17;1084;78;19;0;123;34;0;0;0;0;0;6;2019
AL;MATA GRANDE;4150;922;0;71;2;527;35;0;0;52;2351;116;20;0;37;11;0;0;0;0;0;6;2019
AL;MATRIZ DE CAMARAGIBE;3892;1506;0;142;1;264;118;0;50;31;1380;66;138;0;146;37;0;0;0;0;2;11;2019
AL;MESSIAS;2417;979;0;69;4;134;79;0;20;43;874;63;92;0;44;12;0;0;0;0;0;4;2019
AL;MINADOR DO NEGRAO;1310;379;0;59;0;96;5;0;0;18;712;11;9;0;14;5;0;0;0;0;0;2;2019
AL;MONTEIROPOLIS;1098;295;0;21;0;98;2;0;0;14;618;31;6;0;11;2;0;0;0;0;0;0;2019
AL;MURICI;4260;1304;0;138;8;211;68;0;19;26;1947;297;101;0;106;26;0;0;0;0;2;7;2019
AL;NOVO LINO;1709;817;0;85;1;89;80;0;0;53;457;12;67;0;38;8;0;0;0;0;0;2;2019
AL;OLHO D'AGUA DAS FLORES;5430;1678;0;142;6;433;71;0;7;99;2564;238;36;0;120;24;0;0;0;0;0;12;2019
AL;OLHO D'AGUA DO CASADO;1595;520;0;38;1;111;10;0;6;16;824;40;12;0;12;5;0;0;0;0;0;0;2019
AL;OLHO D'AGUA GRANDE;1005;245;0;16;0;48;7;0;0;2;612;52;14;0;8;1;0;0;0;0;0;0;2019
AL;OLIVENCA;2492;686;0;64;0;142;18;0;1;37;1431;53;14;0;28;9;0;0;0;0;0;9;2019
AL;OURO BRANCO;2706;800;0;105;7;170;40;0;0;55;1372;50;33;0;48;23;0;0;0;0;0;3;2019
AL;PALESTINA;520;184;0;11;1;45;9;0;1;23;223;14;4;0;4;1;0;0;0;0;0;0;2019
AL;PALMEIRA DOS INDIOS;25068;8568;0;661;44;1677;414;0;51;328;10855;1650;91;0;419;222;7;0;0;1;1;79;2019
AL;PAO DE ACUCAR;3118;920;0;73;2;204;37;0;3;92;1504;209;17;0;43;6;0;0;0;0;3;5;2019
AL;PARICONHA;2198;475;0;53;0;220;13;0;8;48;1304;47;13;0;11;4;0;0;0;0;1;1;2019
AL;PARIPUEIRA;2102;931;0;66;2;159;68;0;120;4;571;38;18;0;87;16;0;0;0;0;0;22;2019
AL;PASSO DE CAMARAGIBE;1739;719;0;40;0;86;24;0;136;11;608;26;30;0;41;11;0;0;0;0;1;6;2019
AL;PAULO JACINTO;1319;332;0;15;1;104;11;0;4;8;787;26;9;0;14;6;0;0;0;0;0;2;2019
AL;PENEDO;17628;6041;0;295;19;1021;328;0;337;69;7076;1646;296;0;333;97;2;1;0;0;5;62;2019
AL;PIACABUCU;2185;744;0;35;0;236;40;0;39;15;772;179;20;0;81;13;0;0;0;0;4;7;2019
AL;PILAR;7150;3342;0;154;24;383;194;0;127;60;1942;484;91;0;268;50;0;0;0;5;2;24;2019
AL;PINDOBA;415;97;0;9;0;31;6;0;0;2;256;3;4;0;7;0;0;0;0;0;0;0;2019
AL;PIRANHAS;5329;1585;0;89;5;355;51;0;0;95;2831;232;21;0;44;6;0;1;0;0;2;12;2019
AL;POCO DAS TRINCHEIRAS;2633;639;0;77;1;170;27;0;0;67;1521;54;25;0;32;16;0;0;0;0;0;4;2019
AL;PORTO CALVO;5113;1776;0;207;9;248;180;0;24;127;2128;152;77;0;142;26;0;0;0;0;4;13;2019
AL;PORTO DE PEDRAS;1293;498;0;23;0;72;15;0;61;10;526;37;10;0;34;4;0;0;0;0;1;2;2019
AL;PORTO REAL DO COLEGIO;2220;700;0;37;2;114;27;0;0;37;1131;104;29;0;31;4;0;1;0;0;0;3;2019
AL;QUEBRANGULO;2103;539;0;35;0;152;30;0;0;13;1232;52;17;0;20;11;0;0;0;0;0;2;2019
AL;RIO LARGO;16436;8171;0;454;123;886;457;0;370;207;4577;226;214;0;430;258;4;0;0;0;6;53;2019
AL;ROTEIRO;961;403;0;15;1;59;43;0;12;22;335;15;11;0;29;13;0;0;0;0;0;3;2019
AL;SANTA LUZIA DO NORTE;1192;590;0;22;0;65;30;0;30;4;351;9;47;0;35;7;0;0;0;0;0;2;2019
