UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEIRA;TRATOR RODAS;TRICICLO;UTILITARIO;ANO
MG;ABAETE;12805;7036;0;504;63;1286;261;1;130;49;2113;733;194;0;300;73;9;0;0;0;5;48;2019
MG;ARAUJOS;4536;2345;0;160;13;500;60;0;7;12;1049;145;14;0;183;25;3;0;0;0;2;18;2019
MG;ARCOS;29291;14507;0;1357;697;2491;694;0;48;118;6356;1003;304;0;631;928;12;5;0;14;8;118;2019
MG;BAMBUI;14350;8285;0;590;109;1921;301;0;42;65;2219;199;101;0;256;172;0;1;0;0;2;87;2019
MG;BIQUINHAS;1465;792;0;63;7;182;17;0;9;8;290;35;6;0;44;8;0;0;0;0;1;3;2019
MG;BOM DESPACHO;30910;16979;0;1227;326;3281;698;0;21;96;5685;605;485;0;882;444;7;11;0;4;28;131;2019
MG;CAMACHO;1563;697;0;54;2;163;16;0;4;11;558;9;34;0;13;1;0;0;0;0;0;1;2019
MG;CARMO DO CAJURU;12937;5869;0;468;25;1338;236;0;17;70;4104;275;114;0;325;15;23;2;0;1;23;32;2019
MG;CEDRO DO ABAETE;439;257;0;12;0;45;9;0;2;2;96;9;4;0;2;0;1;0;0;0;0;0;2019
MG;CLAUDIO;17657;9120;0;940;215;1713;353;0;20;59;4210;364;68;0;267;215;1;1;0;1;4;106;2019
MG;CONCEICAO DO PARA;2789;1366;0;91;23;230;58;0;0;13;836;51;21;0;66;24;1;0;0;0;1;8;2019
MG;CORREGO DANTA;1375;798;0;56;16;216;40;0;2;3;159;11;19;0;26;28;0;0;0;0;0;1;2019
MG;CORREGO FUNDO;3439;1748;0;374;57;257;39;0;4;29;673;64;34;0;79;76;0;0;0;1;2;2;2019
MG;DIVINOPOLIS;144099;80837;0;3424;904;11238;4117;0;378;296;30480;5185;777;1;4232;999;43;14;0;6;77;1091;2019
MG;DORES DO INDAIA;7673;4635;0;258;23;992;204;0;15;50;1046;212;26;0;143;33;0;0;0;0;8;28;2019
MG;ESTRELA DO INDAIA;1475;876;0;56;5;207;38;0;1;7;238;12;6;0;22;3;0;0;0;0;2;2;2019
MG;FORMIGA;46633;23179;0;1831;415;3995;1115;0;68;207;12382;1552;239;0;906;490;0;2;0;14;31;207;2019
MG;IGARATINGA;5946;2409;0;554;87;519;78;0;34;12;1759;257;25;0;116;67;0;1;1;11;0;16;2019
MG;IGUATAMA;3774;2352;0;143;42;401;89;0;1;24;527;50;22;0;60;54;0;0;0;0;1;8;2019
MG;ITAPECERICA;10091;5337;0;411;20;896;215;0;73;66;2599;179;65;0;180;22;2;1;0;0;4;21;2019
MG;ITATIAIUCU;6089;3426;0;371;178;570;165;0;31;25;866;46;46;0;134;210;1;0;0;1;1;18;2019
MG;ITAUNA;59179;32511;0;1636;736;5419;1862;0;193;250;12542;1142;290;0;1246;882;22;11;1;6;32;398;2019
MG;JAPARAIBA;2363;1075;0;101;5;240;30;0;1;15;740;71;23;0;52;8;0;0;0;0;0;2;2019
MG;LAGOA DA PRATA;35560;16846;0;1293;189;2853;604;0;48;90;8333;3492;174;0;1025;332;3;10;0;6;8;254;2019
MG;LEANDRO FERREIRA;1694;832;0;57;10;179;27;0;0;8;477;54;11;0;30;4;0;0;0;0;0;5;2019
MG;LUZ;10473;6079;0;400;115;1030;222;0;150;58;1646;196;42;0;289;209;5;1;0;0;1;30;2019
MG;MARAVILHAS;3930;1754;0;204;28;402;57;0;17;19;1164;208;16;0;20;32;0;0;0;1;1;7;2019
MG;MARTINHO CAMPOS;8221;3840;0;443;356;733;115;0;17;34;1461;229;89;0;315;553;15;2;0;0;2;17;2019
MG;MEDEIROS;2061;1059;0;102;5;355;36;0;0;25;436;6;10;0;15;6;0;0;0;0;0;6;2019
MG;MOEMA;5709;2498;0;226;16;593;110;0;23;21;1562;234;131;0;251;21;2;1;0;0;2;18;2019
MG;MORADA NOVA DE MINAS;3608;1808;0;148;19;431;71;0;59;25;726;76;32;0;172;26;0;0;0;0;5;10;2019
MG;NOVA SERRANA;49175;22101;0;644;40;4305;753;0;74;87;16663;2854;139;0;1113;48;42;4;0;1;18;289;2019
MG;ONCA DE PITANGUI;947;409;0;27;1;83;14;0;0;11;359;15;17;0;9;2;0;0;0;0;0;0;2019
MG;PAINEIRAS;2535;1285;0;90;4;319;37;0;3;19;646;57;14;0;51;4;4;0;0;0;0;2;2019
MG;PAINS;4474;2315;0;296;153;426;61;0;6;22;762;122;37;0;95;159;0;0;0;0;1;19;2019
MG;PAPAGAIOS;8052;3205;0;640;76;698;110;0;81;21;2466;457;90;0;105;79;0;1;0;1;12;10;2019
MG;PARA DE MINAS;64397;28500;0;2465;331;5608;1368;0;439;206;18107;5267;244;0;1019;452;5;9;0;13;35;329;2019
MG;PEDRA DO INDAIA;2000;969;0;118;16;255;52;0;1;16;464;22;11;0;48;22;1;0;0;0;0;5;2019
MG;PEQUI;1944;785;0;73;2;163;33;0;10;23;770;40;8;0;30;4;0;0;0;0;0;3;2019
MG;PERDIGAO;6142;2849;0;171;5;612;78;0;7;10;1862;313;17;0;175;7;11;2;0;0;3;20;2019
MG;PIMENTA;5409;2254;0;272;19;607;79;0;7;18;1806;166;34;0;106;18;0;1;0;0;1;21;2019
