Código Grupo;Descrição Grupo;Código Classe;Descrição Classe;Código Subclasse;Descrição Subclasse
A00000;ACOES DE DEFESA SOCIAL;A01000;ASSISTENCIA DE PESSOA INDIGENTE;A01000;ASSISTENCIA DE PESSOA INDIGENTE
A00000;ACOES DE DEFESA SOCIAL;A02000;ATRITO VERBAL;A02000;ATRITO VERBAL
A00000;ACOES DE DEFESA SOCIAL;A03000;AUTO EXTERMINIO (SUICIDIO);A03000;AUTO EXTERMINIO (SUICIDIO)
A00000;ACOES DE DEFESA SOCIAL;A04000;AVERIGUACAO DE DISPARO DE ALARME;A04000;AVERIGUACAO DE DISPARO DE ALARME
A00000;ACOES DE DEFESA SOCIAL;A05000;AVERIGUA PESSOA / VEICULO EM ATITUDE SUSPEITA;A05000;AVERIGUA PESSOA / VEICULO EM ATITUDE SUSPEITA
A00000;ACOES DE DEFESA SOCIAL;A06000;BLOQUEIO DE VIA POR ACAO DE POPULARES / CLASSE;A06000;BLOQUEIO DE VIA POR ACAO DE POPULARES/CLASSE
A00000;ACOES DE DEFESA SOCIAL;A06000;BLOQUEIO DE VIA POR ACAO DE POPULARES / CLASSE;A06000;BLOQUEIO DE VIA POR ACAO DE POPULARES / CLASSE
A00000;ACOES DE DEFESA SOCIAL;A07000;COBERTURA POLICIAL;A07000;COBERTURA POLICIAL
A00000;ACOES DE DEFESA SOCIAL;A08000;FORAGIDO DA JUSTICA;A08000;FORAGIDO DA JUSTICA (SEM MANDADO)
A00000;ACOES DE DEFESA SOCIAL;A08000;FORAGIDO DA JUSTICA;A08000;FORAGIDO DA JUSTICA
A00000;ACOES DE DEFESA SOCIAL;A09000;FUGA DE PRESO;A09000;FUGA DE PRESO
A00000;ACOES DE DEFESA SOCIAL;A10000;PESSOA LOCALIZADA;A10000;PESSOA LOCALIZADA
A00000;ACOES DE DEFESA SOCIAL;A11000;BEM E/OU VALOR ENCONTRADO / LOCALIZADO;A11000;OBJETO ENCONTRADO / LOCALIZADO
A00000;ACOES DE DEFESA SOCIAL;A11000;BEM E/OU VALOR ENCONTRADO / LOCALIZADO;A11000;BEM E/OU VALOR ENCONTRADO / LOCALIZADO
A00000;ACOES DE DEFESA SOCIAL;A12000;REQUISICAO DE FORCA POR AUTORIDADE JUDICIARIA;A12000;REQUISICAO DE FORCA POR AUTORIDADE JUDICIARIA
A00000;ACOES DE DEFESA SOCIAL;A13000;TENTATIVA DE FUGA;A13000;TENTATIVA DE FUGA
A00000;ACOES DE DEFESA SOCIAL;A14000;REALIZACAO DE PERICIAS DE LOCAIS (CRIMINAL OU CIVEL);A14000;REALIZACAO DE PERICIA DANOS
A00000;ACOES DE DEFESA SOCIAL;A14000;REALIZACAO DE PERICIAS DE LOCAIS (CRIMINAL OU CIVEL);A14000;REALIZACAO DE PERICIAS DE LOCAIS (CRIMINAL OU CIVEL)
A00000;ACOES DE DEFESA SOCIAL;A15000;VISTORIA EM VEICULO;A15000;VISTORIA EM VEICULO
A00000;ACOES DE DEFESA SOCIAL;A16000;VEICULO LOCALIZADO / RECUPERADO;A16000;VEICULO LOCALIZADO / RECUPERADO
A00000;ACOES DE DEFESA SOCIAL;A17000;ENCONTRO DE CADAVER;A17001;ENCONTRO DE CADAVER
A00000;ACOES DE DEFESA SOCIAL;A17000;ENCONTRO DE CADAVER;A17002;ENCONTRO DE FETO
A00000;ACOES DE DEFESA SOCIAL;A17000;ENCONTRO DE CADAVER;A17003;ENCONTRO DE PARTE CADAVER/ORGAO/OSSADA HUMANA
A00000;ACOES DE DEFESA SOCIAL;A17000;ENCONTRO DE CADAVER;A17004;REMOCAO DE CADAVER EM HOSPITAIS OU SIMILARES
A00000;ACOES DE DEFESA SOCIAL;A17000;ENCONTRO DE CADAVER;A17005;REMOCAO DE CADAVER EM LOCAL DE CRIME OU ACIDENTE
A00000;ACOES DE DEFESA SOCIAL;A18000;EMPENHO DE AMBULANCIA;A18001;IPSM
A00000;ACOES DE DEFESA SOCIAL;A18000;EMPENHO DE AMBULANCIA;A18001;EMPENHO DE AMBULANCIA DO IPSM
A00000;ACOES DE DEFESA SOCIAL;A18000;EMPENHO DE AMBULANCIA;A18002;POLICIA CIVIL
A00000;ACOES DE DEFESA SOCIAL;A18000;EMPENHO DE AMBULANCIA;A18002;EMPENHO DE AMBULANCIA DA POLICIA CIVIL
A00000;ACOES DE DEFESA SOCIAL;A19000;REUNIAO COMUNITARIA / ENTIDADES DIVERSAS;A19000;REUNIAO COMUNITARIA / ENTIDADES DIVERSAS
A00000;ACOES DE DEFESA SOCIAL;A19000;REUNIAO COMUNITARIA / ENTIDADES DIVERSAS;A19001;CONSEP
A00000;ACOES DE DEFESA SOCIAL;A19000;REUNIAO COMUNITARIA / ENTIDADES DIVERSAS;A19002;CONSELHO MUNICIPAL ANTIDROGAS
A00000;ACOES DE DEFESA SOCIAL;A19000;REUNIAO COMUNITARIA / ENTIDADES DIVERSAS;A19003;CONSELHO DE DIREITOS HUMANOS
A00000;ACOES DE DEFESA SOCIAL;A19000;REUNIAO COMUNITARIA / ENTIDADES DIVERSAS;A19004;ASSOCIAÇÃO DE MORADORES
A00000;ACOES DE DEFESA SOCIAL;A19000;REUNIAO COMUNITARIA / ENTIDADES DIVERSAS;A19005;REUNIAO DO GEPAR COM O CENTRO DE PREVENCAO A CRIMINALIDADE
