Número REDS,Data Fato
2018-000013878-001,1/1/2018
2018-000016724-001,1/1/2018
2018-000026381-001,1/1/2018
2018-000039155-001,1/1/2018
2018-000067770-001,1/1/2018
2018-000097581-001,1/1/2018
2018-000647570-001,1/1/2018
2018-000131534-001,1/2/2018
2018-000132567-001,1/2/2018
2018-000135820-001,1/2/2018
2018-000152921-001,1/2/2018
2018-000167917-001,1/2/2018
2018-000192215-001,1/2/2018
2018-000205467-001,1/2/2018
2018-000224710-001,1/2/2018
2018-000355787-001,1/2/2018
2018-000276786-001,1/3/2018
2018-000279751-001,1/3/2018
2018-000300824-001,1/3/2018
2018-000308742-001,1/3/2018
2018-000316002-001,1/3/2018
2018-000330075-001,1/3/2018
2018-000343910-001,1/3/2018
2018-000345831-001,1/3/2018
2018-000362027-001,1/3/2018
2018-000376178-001,1/3/2018
2018-000386894-001,1/3/2018
2018-000405695-001,1/3/2018
2018-000408303-001,1/3/2018
2018-000417830-001,1/3/2018
2018-002082772-001,1/3/2018
2018-004896414-001,1/3/2018
2018-000421356-001,1/4/2018
2018-000436943-001,1/4/2018
2018-000443190-001,1/4/2018
2018-000469811-001,1/4/2018
2018-000469956-001,1/4/2018
2018-000471403-001,1/4/2018
2018-000473562-001,1/4/2018
2018-000477680-001,1/4/2018
2018-000483345-001,1/4/2018
2018-000520646-001,1/4/2018
2018-000792990-001,1/4/2018
2018-000607210-001,1/5/2018
2018-000607277-001,1/5/2018
2018-000614303-001,1/5/2018
2018-000620445-001,1/5/2018
2018-000631248-001,1/5/2018
2018-000670470-001,1/5/2018
2018-000679080-001,1/5/2018
2018-000682030-001,1/5/2018
2018-000687045-001,1/5/2018
2018-000701865-001,1/5/2018
2018-000982972-001,1/5/2018
2018-000998492-001,1/5/2018
2018-001141684-001,1/5/2018
2018-002037570-001,1/5/2018
2018-000724779-001,1/6/2018
2018-000753470-001,1/6/2018
2018-000754957-001,1/6/2018
2018-000775335-001,1/6/2018
2018-000776669-001,1/6/2018
2018-000816180-001,1/6/2018
2018-000825453-001,1/6/2018
2018-000840148-001,1/6/2018
2018-000865260-001,1/7/2018
2018-000873897-001,1/7/2018
2018-000881930-001,1/7/2018
2018-000892878-001,1/7/2018
2018-000897777-001,1/7/2018
2018-000897777-002,1/7/2018
2018-000901002-001,1/7/2018
2018-000924769-001,1/7/2018
2018-000929207-001,1/7/2018
2018-000935518-001,1/7/2018
2018-000948260-001,1/7/2018
2018-000992649-001,1/7/2018
2018-000954122-001,1/8/2018
2018-000954765-001,1/8/2018
2018-000965843-001,1/8/2018
2018-000966456-001,1/8/2018
2018-000969657-001,1/8/2018
2018-000974794-001,1/8/2018
2018-001006804-001,1/8/2018
2018-001008662-001,1/8/2018
2018-001094923-001,1/8/2018
2018-001138349-001,1/8/2018
2018-001153362-001,1/8/2018
2018-001199478-001,1/8/2018
2018-001166753-001,1/9/2018
2018-001258634-001,1/9/2018
2018-001269374-001,1/9/2018
2018-001272218-001,1/9/2018
2018-001341107-001,1/9/2018
2018-001351695-001,1/9/2018
2018-001564249-001,1/9/2018
2018-002117654-001,1/9/2018
2018-001294807-001,1/10/2018
2018-001317230-001,1/10/2018
2018-001354329-001,1/10/2018
2018-001375625-001,1/10/2018
2018-001400410-001,1/10/2018
2018-002099754-001,1/10/2018
2018-001447875-001,1/11/2018
2018-001488620-001,1/11/2018
2018-001489036-001,1/11/2018
2018-001504835-001,1/11/2018
2018-001555627-001,1/11/2018
2018-001557670-001,1/11/2018
2018-001576321-001,1/11/2018
2018-001797765-001,1/11/2018
2018-002049402-001,1/11/2018
2018-002181432-001,1/11/2018
2018-004160745-001,1/11/2018
2018-001631217-001,1/12/2018
2018-001631665-001,1/12/2018
2018-001635018-001,1/12/2018
2018-001644504-001,1/12/2018
2018-001645277-001,1/12/2018
2018-001654791-001,1/12/2018
2018-001674303-001,1/12/2018
2018-001759104-001,1/12/2018
2018-001796219-001,1/12/2018
2018-005770473-001,1/12/2018
2018-011732651-001,1/12/2018
2018-001758260-001,1/13/2018
2018-001773227-001,1/13/2018
2018-001782438-001,1/13/2018
2018-001785654-001,1/13/2018
2018-001809878-001,1/13/2018
2018-001868807-001,1/13/2018
2018-001876779-001,1/13/2018
2018-001934787-001,1/13/2018
2018-002680455-001,1/13/2018
2018-001883940-001,1/14/2018
2018-001883980-001,1/14/2018
2018-001888498-001,1/14/2018
2018-001889386-001,1/14/2018
2018-001906868-001,1/14/2018
2018-001960716-001,1/14/2018
2018-001978787-001,1/14/2018
2018-002017175-001,1/15/2018
2018-002032208-001,1/15/2018
2018-002062680-001,1/15/2018
2018-002064285-001,1/15/2018
2018-002072240-001,1/15/2018
2018-002072974-001,1/15/2018
2018-002084940-001,1/15/2018
2018-002103165-001,1/15/2018
2018-002108092-001,1/15/2018
2018-002152077-001,1/15/2018
2018-002198611-001,1/15/2018
2018-002200506-001,1/15/2018
2018-002192066-001,1/16/2018
2018-002192592-001,1/16/2018
2018-002201933-001,1/16/2018
