NREDS;DATA_PA;PROTOCOLO;MOTIVO;UEOP;COMPANHIA;MUNICIPIO;COD_DIAO;NATUREZA;ACAO
2019-002947047-002;;;REDS ASSOCIADO ;63 BPM;;FORMIGA;D01213;ESTUPRO;E
2019-029151104-001;;;ALTERAR NATUREZA;63 BPM;;FORMIGA;C01158;EXTORSAO;E
2019-027708394-001;;;ALTERAR NATUREZA;23 BPM;;ITAUNA;C01157;ROUBO;E
2019-027453597-001;;;ALTERAR NATUREZA;23 BPM;;ITAUNA;C01157;ROUBO;E
2019-033127244-001;;;ALTERAR NATUREZA;23 BPM;;ITAUNA;B01148;SEQUESTRO E CARCERE PRIVADO;E
2019-034933960-001;;;ALTERAR NATUREZA;19 CIA PM IND;;ONCA DO PITANGUI;C01157;ROUBO;E
2019-033286998-002;;;REDS ASSOCIADO ;23 BPM;;DIVINOPOLIS;C01157;ROUBO ;E
2019-028737653-001;;;ALTERAR RESPONSABILIDADE;63 BPM;;BAMBUI;D01213;ESTUPRO;E
2019-028042755-002;;;REDS ASSOCIADO ;63 BPM;;ARCOS;D01213;ESTUPRO;E
2019-010994110-001;;;ALTERAR NATUREZA;07 BPM;;BOM DESPACHO;D01213;ESTUPRO;E
2019-030091810-001;;;DUPLICATA DE OUTRO REDS;60 BPM;;NOVA SERRANA;C01157;ROUBO;E
2019-027304215-001;;;FATO PRETERITO;23 BPM;;DIVINOPOLIS;C01157;ROUBO;E
2019-025984134-001;;;ALTERAR NATUREZA;23 BPM;;DIVINOPOLIS;C01157;ROUBO ;E
2019-025638634-001;;;OUTRO;60 BPM;;PITANGUI;C01157;ROUBO;E
2019-025363589-001;;;FATO PRETERITO;07 BPM;;POMPEU;D01213;ESTUPRO;E
2019-001874741-001;;;ALTERAR RESPONSABILIDADE;07 BPM;;BOM DESPACHO;D01217;ESTUPRO DE VULNERAVEL;E
2019-024980455-001;;;FATO PRETERITO;07 BPM;;LUZ;D01217;ESTUPRO DE VULNERAVEL;E
2019-024833587-001;;;ALTERAR NATUREZA;07 BPM;;BOM DESPACHO;D01217;ESTUPRO DE VULNERAVEL;E
2019-023582241-001;;;FATO PRETERITO;07 BPM;;DORES DO INDAIA;D01217;ESTUPRO DE VULNERAVEL;E
2019-017835840-001;;;FATO PRETERITO;07 BPM;;LAGOA DA PRATA;D01217;ESTUPRO DE VULNERAVEL;E
2019-016989829-001;;;FATO PRETERITO;07 BPM;;BOM DESPACHO;D01217;ESTUPRO DE VULNERAVEL;E
2019-010631008-001;;;FATO PRETERITO;07 BPM;;BIQUINHAS;C01157;ROUBO;E
2019-003833449-001;;;FATO PRETERITO;07 BPM;;BOM DESPACHO;D01217;ESTUPRO DE VULNERAVEL;E
2019-020239299-002;;;REDS ASSOCIADO ;63 BPM;;FORMIGA;C01157;ROUBO;E
2019-007721512-001;;;ALTERAR RESPONSABILIDADE;63 BPM;;TAPIRAI;C01157;ROUBO;E
2019-022270723-001;;;FATO OCORRIDO EM OUTRO ESTADO;23 BPM;;ITAUNA;C01157;ROUBO;E
2019-022003607-003;;;REDS ASSOCIADO ;07 BPM;;SANTO ANTONIO DO MONTE;C01157;ROUBO;E
2019-022003607-002;;;REDS ASSOCIADO ;07 BPM;;SANTO ANTONIO DO MONTE;C01157;ROUBO;E
2019-019791422-002;;;REDS ASSOCIADO ;23 BPM;;CARMO CAJURU;C01157;ROUBO;E
2019-015335029-001;;;ALTERAR NATUREZA;63 BPM;;ARCOS;D01213;ESTUPRO;E
2019-010874006-001;;;FATO PRETERITO;07 BPM;;DORES DO INDAIA;D01217;ESTUPRO DE VULNERAVEL;E
2019-013581208-001;;;REDS ASSOCIADO ;23 BPM;;CARMO DO CAJURU;C01157;ROUBO;E
2019-009103651-001;;;FATO PRETERITO;07 BPM;;MOEMA;C01157;ROUBO;E
2019-011295210-001;;;ALTERAR NATUREZA;63 BPM;;BAMBUI;C01158;EXTORSAO;E
2019-003823694-001;;;FATO PRETERITO;63 BPM;;ARCOS;D01213;ESTUPRO;E
2019-000828300-002;;;REDS ASSOCIADO ;63 BPM;;ITAPECERICA;C01157;ROUBO;E
2019-010688286-001;;;FATO PRETERITO;07 BPM;;BOM DESPACHO;D01217;ESTUPRO DE VULNERAVEL;E
2019-010447049-002;;;REDS ASSOCIADO ;07 BPM;;BOM DESPACHO;B01121;HOMICIDIO;E
2019-007891805-002;;;REDS ASSOCIADO ;07 BPM;;POMPEU;B01121;HOMICIDIO;E
2019-000362187-001;;;ALTERAR NATUREZA;19 CIA PM IND;;SAO J. VARGINHA;C01157;ROUBO;E
2019-002686108-001;;;FATO OCORRIDO EM OUTRO ESTADO;23 BPM;;DIVINOPOLIS;C01157;ROUBO;E
2019-007116067-001;;;DUPLICATA DE OUTRO REDS;07 BPM;;BOM DESPACHO;B01121;HOMICIDIO;E
2019-003239830-002;;;REDS ASSOCIADO ;07 BPM;;LUZ;C01157;ROUBO;E
2019-003486498-001;;;DUPLICATA DE OUTRO REDS;19 CIA PM IND;;PARA DE MINAS;C01157;ROUBO;E
2019-007891805-002;;;EXCLUIR VÍTIMA HC;07 BPM;;POMPEU;B01121;HOMICIDIO;E
2019-007116067-001;;;EXCLUIR VÍTIMA HC;07 BPM;;BOM DESPACHO;B01121;HOMICIDIO;E
