Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Logradouro Ocorrência - Tipo;Logradouro Ocorrência;Logradouro Ocorrência Não Cadastrado;Logradouro Cruzamento;Logradouro Cruzamento Não Cadastrado;Número Logradouro;Bairro;Bairro Não Cadastrado;Complemento Endereço;Ponto de Referência;Município;Latitude;Longitude;Data Fato;Horário Fato;Descrição Tipo Material;Situação Material;Qtde Materiais
2019-001515196-001;POLICIA MILITAR;INVÁLIDO;279 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;INVÁLIDO;GAIVOTA;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;NOVA SERRANA;;;10/01/2019;23:44:22;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-001636157-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;RUA;RUBI;;PREENCHIMENTO OPCIONAL;;64;NITEROI;;;;DIVINOPOLIS;-20,14126160;-44,87716350;11/01/2019;17:27:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-001684246-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;RUA;JAO;ROSA FONSECA E SILVA;PREENCHIMENTO OPCIONAL;;680.000;SANTA ROSA;SANTA ROSA;;;DIVINOPOLIS;-20,16601690;-44,86163770;11/01/2019;18:53:43;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-005790446-002;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;SITIO;VARJAO CLO 0685 JOSE SOARES;POVOADO FORMIGUINHA CLO 0685;PREENCHIMENTO OPCIONAL;;0.00000;INVÁLIDO;ZONA RURAL;;FAZENDA BREJÃO;CLAUDIO;-20,43400990;-44,86829250;06/02/2019;21:20:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-006242785-001;POLICIA MILITAR;3 PEL/290 CIA PM/63 BPM/7 RPM;290 CIA PM/63 BPM/7 RPM;C01157;TENTADO;POVOADO;SUCUPIRA;Sucupira;PREENCHIMENTO OPCIONAL;;0.00000;INVÁLIDO;Povoado Sucupira;;;ITAPECERICA;-20,47812280;-45,01069370;09/02/2019;12:30:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-006289068-001;POLICIA MILITAR;2 GP/3 PEL/142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;TENTADO;RUA;PIO XII;;PREENCHIMENTO OPCIONAL;;0;SAO FRANCISCO;;;PARQUE DE EXPOSIÇÕES;SAO GONCALO DO PARA;-19,99124650;-44,84824600;09/02/2019;20:28:13;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-008179374-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;C01157;CONSUMADO;RUA;NAIR GUIMARAES FERREIRA;;PREENCHIMENTO OPCIONAL;;70;RECANTO DA LAGOA;;;;PARA DE MINAS;-19,87010230;-44,57885760;21/02/2019;01:08:40;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-008335890-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;PRACA;IMACULADA CONCEICAO;;PREENCHIMENTO OPCIONAL;;6;CENTRO;;;;ITAUNA;-20,07509690;-44,57191170;21/02/2019;22:07:44;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-009879714-001;POLICIA MILITAR;279 CIA PM/60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;ESTRADA;INVÁLIDO;ACESSO BR 262;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;ATRÁS DO CENTRO ADMINSTRATIVO MUNICIPAL;NOVA SERRANA;;;02/03/2019;17:40:10;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2019-010564371-001;POLICIA MILITAR;3 PEL/280 CIA PM/60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;TENTADO;RUA;CORONEL AMERICO BAHIA;;PREENCHIMENTO OPCIONAL;;115;INVÁLIDO;CENTRO;;;PITANGUI;;;06/03/2019;21:55:53;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
