Unid Registro Nível 6;TIPO
7 CIA PM MAMB/BPM MAMB/CPMAMB;CPMAMB
9 CIA PM MAMB/BPM MAMB/CPMAMB;CPMAMB
BPM MAMB/CPMMAB;CPMAMB
4 CIA PM MAMB/BPM MAMB/CPMAMB;CPMAMB
10 CIA PM MAMB/BPM MAMB/CPMAMB;CPMAMB
18 CIA PM MAMB/BPM MAMB/CPMAMB;CPMAMB
6 CIA PM MAMB/BPM MAMB/CPMAMB;CPMAMB
17 CIA PM MAMB/BPM MAMB/CPMAMB;CPMAMB
15 CIA PM MAMB/BPM MAMB/CPMAMB;CPMAMB
13 CIA PM MAMB/BPM MAMB/CPMAMB;CPMAMB
12 CIA PM MAMB/BPM MAMB/CPMAMB;CPMAMB
11 CIA PM MAMB/BPM MAMB/CPMAMB;CPMAMB
5 CIA PM MAMB/BPM MAMB/CPMAMB;CPMAMB
16 CIA PM MAMB/BPM MAMB/CPMAMB;CPMAMB
14 CIA PM MAMB/BPM MAMB/CPMAMB;CPMAMB
8 CIA PM MAMB/BPM MAMB/CPMAMB;CPMAMB
10 CIA PM MAMB;CPMAMB
3 GP/1 PEL MAMB/7 CIA PM MAMB/BPM MAMB;CPMAMB
3 PEL MAMB/7 CIA PM IND MAT/7 RPM;CPMAMB
1 PEL MAMB/7 CIA PM MAMB/BPM MAMB;CPMAMB
1 GP/1 PEL MAMB/7 CIA PM MAMB/BPM MAMB;CPMAMB
1 GP/2 PEL MAMB/7 CIA PM IND MAT/7 RPM;CPMAMB
7 CIA PM RV/BPMRV/CPRV;CPRV
9 CIA PM RV/BPMRV/CPRV;CPRV
1 CIA PM RV/BPMRV/CPRV;CPRV
2 CIA PM RV/BPMRV/CPRV;CPRV
BPMRV/CPRV;CPRV
12 CIA PM RV/BPMRV/CPRV;CPRV
4 CIA PM RV/BPMRV/CPRV;CPRV
10 CIA PM RV/BPMRV/CPRV;CPRV
18 CIA PM RV/BPMRV/CPRV;CPRV
6 CIA PM RV/BPMRV/CPRV;CPRV
17 CIA PM RV/BPMRV/CPRV;CPRV
13 CIA PM RV/BPMRV/CPRV;CPRV
11 CIA PM RV/BPMRV/CPRV;CPRV
16 CIA PM RV/BPMRV/CPRV;CPRV
8 CIA PM RV/BPMRV/CPRV;CPRV
14 CIA PM RV/BPMRV/CPRV;CPRV
15 CIA PM RV/BPMRV/CPRV;CPRV
5 CIA PM RV/BPMRV/CPRV;CPRV
CPRV;CPRV
EM-CPRV/CPRV;CPRV
1 GP/1 PEL RV/7 CIA PM IND MAT/7 RPM;CPRV
1 PEL RV/7 CIA PM IND MAT/7 RPM;CPRV
1 GP/1 PEL RV/7 CIA PM RV/BPMRV/CPRV;CPRV
1 PEL RV/7 CIA PM RV/BPMRV/CPRV;CPRV
9 CIA PM IND MAT/9 RPM;MAT
1 CIA ROTAM/BTL ROTAM/CPE;CPE
2 CIA ROTAM/BTL ROTAM/CPE;CPE
1 CIA PCHQ/BPCHQ/CPE;CPE
2 CIA PCHQ/BPCHQ/CPE;CPE
3 CIA PCHQ/BPCHQ/CPE;CPE
BPCHQ/CPE;CPE
BTL ROTAM/CPE;CPE
RCAT/CPE;CPE
2 CIA PGD/BPGD/CPE;CPE
1 ESQ PMONT/RCAT/CPE;CPE
2 ESQ PMONT/RCAT/CPE;CPE
3 CIA ROTAM/BTL ROTAM/CPE;CPE
CIA PM IND PCAES/CPE;CPE
10 CIA PM IND MAT/10 RPM;MAT
7 CIA PM IND MAT/7 RPM;MAT
17 CIA PM IND MAT/17 RPM;MAT
13 CIA PM IND MAT/13 RPM;MAT
BPGD/CPE;CPE
8 CIA PM IND MAT/8 RPM;MAT
1 CIA PGD/BPGD/CPE;CPE
3 ESQ PMONT/RCAT/CPE;CPE
BOPE/CPE;CPE
EMCPE/CPE;CPE
CPE;CPE
4 CIA PM IND MAT/4 RPM;MAT
SAT/4 CIA PM IND MAT/4 RPM;MAT
11 CIA PM IND MAT/11 RPM;MAT
23 CIA PM MAT/23 BPM (EXTINGUIR);MAT
10 CIA PM MAT/10 BPM (EXTINGUIR);MAT
15 CIA PM IND MAT/15 RPM;MAT
15 CIA PM MAT/15 BPM (EXTINGUIR);MAT
6 CIA PM IND MAT/6 RPM;MAT
18 CIA PM IND MAT/18 RPM;MAT
37 CIA PM MAT/37 BPM (EXTINGUIR);MAT
5 CIA PM IND MAT;MAT
16 CIA PM IND MAT/16 RPM;MAT
14 CIA PM IND MAT/14 RPM;MAT
20 CIA PM MAT/20 BPM (EXTINGUIR);MAT
12 CIA PM MAT/12 BPM (EXTINGUIR);MAT
3 CIA PM MAT/3 BPM (EXTINGUIR);MAT
21 CIA PM MAT/21 BPM (EXTINGUIR);MAT
28 CIA PM MAT/28 BPM/10 RPM (EXTINGUIR);MAT
24 CIA PM MAT/24 BPM;MAT
NUCLEO DE APOIO ADMINISTRATIVO E DE FISCALIZACAO;DER
10BBM/1CIA/3PEL (DIVINOPOLIS);BBM
REGIONAL OLIVEIRA;DER
NUCLEO ADMINISTRATIVO E DE FISCALIZACAO;DER
7 CIA PM IND PE/7 RPM;CPE
COORDENADORIA OESTE - FORMIGA;DER
TESTE;TESTE
2 PEL RV/9 CIA PM RV/BPMRV/CPRV;CPRV
