Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Logradouro Ocorrência - Tipo;Logradouro Ocorrência;Logradouro Ocorrência Não Cadastrado;Logradouro Cruzamento;Logradouro Cruzamento Não Cadastrado;Número Logradouro;Bairro;Bairro Não Cadastrado;Complemento Endereço;Ponto de Referência;Município;Latitude;Longitude;Situação Arma;Tipo Arma;Data Fato;Horário Fato;Qtde  Armas de Fogo
2019-000026760-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;E03014;CONSUMADO;RUA;PROFESSOR JACINTO RIBEIRO;;PREENCHIMENTO OPCIONAL;;522;CENTRO;;;;LAGOA DA PRATA;-20,02731750;-45,54595690;APREENDIDO;PISTOLA;01/01/2019;07:19:32;1
2019-000026760-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;E03014;CONSUMADO;RUA;PROFESSOR JACINTO RIBEIRO;;PREENCHIMENTO OPCIONAL;;522;CENTRO;;;;LAGOA DA PRATA;-20,02731750;-45,54595690;APREENDIDO;REVOLVER;01/01/2019;07:19:32;1
2019-000031672-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;A11000;CONSUMADO;AVENIDA;CINCO;JK;PREENCHIMENTO OPCIONAL;;323.000;BOM PASTOR;BOM PASTOR;;;DIVINOPOLIS;-20,12561760;-44,88743570;RECUPERADO;PISTOLA;01/01/2019;09:15:31;1
2019-000035432-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;7 CIA PM RV/BPMRV/CPRV;C01157;CONSUMADO;RODOVIA;BR 494;;PREENCHIMENTO OPCIONAL;;29;NOVA FORTALEZA;;;;DIVINOPOLIS;-20,10907920;-44,91043370;FURTADO / ROUBADO (NAO RECUPERADO);PISTOLA;01/01/2019;06:55:00;1
2019-000086302-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;E03016;CONSUMADO;RUA;CHIQUINHO DA QUITA;;PREENCHIMENTO OPCIONAL;;120;VOLTA DO BREJO;;;;POMPEU;-19,21609100;-44,98549960;APREENDIDO;PISTOLA;01/01/2019;19:40:00;1
2019-000097917-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;C01155;CONSUMADO;AVENIDA;INVÁLIDO;AMAZONAS;PREENCHIMENTO OPCIONAL;;1122;INVÁLIDO;SAO JOSE;;;PARA DE MINAS;;;FURTADO / ROUBADO (NAO RECUPERADO);ESPINGARDA / ESCOPETA;01/01/2019;21:43:18;1
2019-000097917-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;C01155;CONSUMADO;AVENIDA;INVÁLIDO;AMAZONAS;PREENCHIMENTO OPCIONAL;;1122;INVÁLIDO;SAO JOSE;;;PARA DE MINAS;;;FURTADO / ROUBADO (NAO RECUPERADO);REVOLVER;01/01/2019;21:43:18;1
2019-000104243-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;240 CIA TM/23 BPM/7 RPM;E03016;CONSUMADO;RUA;JESUS JOTA;;PREENCHIMENTO OPCIONAL;;1501;PONTE FUNDA;;bloco 02 ap 303;;DIVINOPOLIS;-20,15643730;-44,86144980;APREENDIDO;PISTOLA;01/01/2019;23:24:45;1
2019-000212891-001;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;7 CIA PM MAMB/BPM MAMB/CPMAMB;E03012;CONSUMADO;POVOADO;MONSENHOR JOAO ALEXANDRE;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;fazenda souza;;CLAUDIO;-20,36652430;-44,68218020;APREENDIDO;ESPINGARDA / ESCOPETA;02/01/2019;17:17:18;2
2019-000231803-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;7 CIA PM IND PE/7 RPM;I04033;CONSUMADO;RUA;MARTINHO FERREIRA DO AMARAL;;PREENCHIMENTO OPCIONAL;;300;PROLONGAMENTO BOM PASTOR;;APTO 304;;DIVINOPOLIS;-20,11234450;-44,87865310;APREENDIDO;ESPINGARDA / ESCOPETA;02/01/2019;18:20:00;1
2019-000260441-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;E03012;CONSUMADO;TRAVESSA;ZINO GOMES;;PREENCHIMENTO OPCIONAL;;50;GOMES;;;;LAGOA DA PRATA;-20,01335480;-45,53598480;APREENDIDO;REVOLVER;02/01/2019;23:34:56;1
2019-000262992-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;E03014;CONSUMADO;POVOADO;SUMIDOURO;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;ITAUNA;-20,11733330;-44,56712500;APREENDIDO;REVOLVER;03/01/2019;00:00:05;1
2019-000342800-002;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;E99000;CONSUMADO;RUA;NOSSA SENHORA DAS GRACAS;;PREENCHIMENTO OPCIONAL;;490;MANOEL VALINHAS;;;;DIVINOPOLIS;-20,12716090;-44,87689370;APREENDIDO;REVOLVER;04/01/2019;08:30:00;1
2019-000429926-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;E03014;CONSUMADO;POVOADO;LAGO DAS ROSEIRAS;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;DIVINOPOLIS;-20,24759150;-44,77049670;APREENDIDO;ESPINGARDA / ESCOPETA;03/01/2019;23:45:12;1
2019-000455651-001;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;E99000;CONSUMADO;ESTRADA;DOS MACACOS;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;CLAUDIO;-20,46502010;-44,77726090;APREENDIDO;ESPINGARDA / ESCOPETA;04/01/2019;09:00:00;1
2019-000544043-001;POLICIA MILITAR;2 GP/3 PEL/51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;E03012;CONSUMADO;POVOADO;PINHEIROS;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;FAZENDA VALES DAS ÁGUAS;ITATIAIUCU;-20,18027780;-44,37861110;APREENDIDO;CARABINA / RIFLE;04/01/2019;18:07:29;1
2019-000544043-001;POLICIA MILITAR;2 GP/3 PEL/51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;E03012;CONSUMADO;POVOADO;PINHEIROS;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;FAZENDA VALES DAS ÁGUAS;ITATIAIUCU;-20,18027780;-44,37861110;APREENDIDO;GARRUCHA;04/01/2019;18:07:29;2
