Código Grupo Tipo Material;Descrição Longa Grupo Tipo Material;Código Tipo Material;Descrição Longa Tipo Material;Descrição Longa Unidade Medida;Valor
100;ACESSORIO / PECA / ESTRUTURA DE VEICULO;199;OUTROS - ACESSORIO / PECA / ESTRUTURA DE VEICULO;CENTIMETRO;1
100;ACESSORIO / PECA / ESTRUTURA DE VEICULO;199;OUTROS - ACESSORIO / PECA / ESTRUTURA DE VEICULO;METRO;100
100;ACESSORIO / PECA / ESTRUTURA DE VEICULO;199;OUTROS - ACESSORIO / PECA / ESTRUTURA DE VEICULO;QUILOMETRO;1000
100;ACESSORIO / PECA / ESTRUTURA DE VEICULO;199;OUTROS - ACESSORIO / PECA / ESTRUTURA DE VEICULO;LITRO;1000
100;ACESSORIO / PECA / ESTRUTURA DE VEICULO;199;OUTROS - ACESSORIO / PECA / ESTRUTURA DE VEICULO;ESTEREO;1
100;ACESSORIO / PECA / ESTRUTURA DE VEICULO;199;OUTROS - ACESSORIO / PECA / ESTRUTURA DE VEICULO;QUILATE;1
100;ACESSORIO / PECA / ESTRUTURA DE VEICULO;199;OUTROS - ACESSORIO / PECA / ESTRUTURA DE VEICULO;MILIGRAMA;0.001
100;ACESSORIO / PECA / ESTRUTURA DE VEICULO;199;OUTROS - ACESSORIO / PECA / ESTRUTURA DE VEICULO;GRAMA;1
100;ACESSORIO / PECA / ESTRUTURA DE VEICULO;199;OUTROS - ACESSORIO / PECA / ESTRUTURA DE VEICULO;QUILOGRAMA;1000
100;ACESSORIO / PECA / ESTRUTURA DE VEICULO;199;OUTROS - ACESSORIO / PECA / ESTRUTURA DE VEICULO;TONELADA;100000
100;ACESSORIO / PECA / ESTRUTURA DE VEICULO;199;OUTROS - ACESSORIO / PECA / ESTRUTURA DE VEICULO;ARROBA;15000
100;ACESSORIO / PECA / ESTRUTURA DE VEICULO;199;OUTROS - ACESSORIO / PECA / ESTRUTURA DE VEICULO;UNIDADE;1
100;ACESSORIO / PECA / ESTRUTURA DE VEICULO;199;OUTROS - ACESSORIO / PECA / ESTRUTURA DE VEICULO;DUZIA;12
100;ACESSORIO / PECA / ESTRUTURA DE VEICULO;199;OUTROS - ACESSORIO / PECA / ESTRUTURA DE VEICULO;CENTO;100
100;ACESSORIO / PECA / ESTRUTURA DE VEICULO;199;OUTROS - ACESSORIO / PECA / ESTRUTURA DE VEICULO;MILHEIRO;1000
100;ACESSORIO / PECA / ESTRUTURA DE VEICULO;199;OUTROS - ACESSORIO / PECA / ESTRUTURA DE VEICULO;PREENCHIMENTO OPCIONAL;1
200;ANIMAL;201;ANIMAL EXOTICO;CENTIMETRO;1
200;ANIMAL;201;ANIMAL EXOTICO;LITRO;1000
200;ANIMAL;201;ANIMAL EXOTICO;UNIDADE;1
200;ANIMAL;201;ANIMAL EXOTICO;PREENCHIMENTO OPCIONAL;1
200;ANIMAL;202;ANIMAL SILVESTRE;CENTIMETRO;1
200;ANIMAL;202;ANIMAL SILVESTRE;METRO QUADRADO;1
200;ANIMAL;202;ANIMAL SILVESTRE;LITRO;1000
200;ANIMAL;202;ANIMAL SILVESTRE;QUILOGRAMA;1000
200;ANIMAL;202;ANIMAL SILVESTRE;UNIDADE;1
200;ANIMAL;202;ANIMAL SILVESTRE;PREENCHIMENTO OPCIONAL;1
200;ANIMAL;203;AVES EM GERAL;CENTIMETRO;1
200;ANIMAL;203;AVES EM GERAL;GRAMA;1
200;ANIMAL;203;AVES EM GERAL;QUILOGRAMA;1000
200;ANIMAL;203;AVES EM GERAL;ARROBA;15000
200;ANIMAL;203;AVES EM GERAL;UNIDADE;1
200;ANIMAL;203;AVES EM GERAL;DUZIA;12
200;ANIMAL;203;AVES EM GERAL;MILHEIRO;1000
200;ANIMAL;203;AVES EM GERAL;PREENCHIMENTO OPCIONAL;1
200;ANIMAL;204;CAO;CENTIMETRO;1
200;ANIMAL;204;CAO;METRO;100
200;ANIMAL;204;CAO;QUILOGRAMA;1000
200;ANIMAL;204;CAO;UNIDADE;1
200;ANIMAL;204;CAO;PREENCHIMENTO OPCIONAL;1
200;ANIMAL;205;GATO;QUILOGRAMA;1000
200;ANIMAL;205;GATO;UNIDADE;1
200;ANIMAL;205;GATO;PREENCHIMENTO OPCIONAL;1
200;ANIMAL;206;PASSARO;CENTIMETRO;1
200;ANIMAL;206;PASSARO;QUILOGRAMA;1000
200;ANIMAL;206;PASSARO;UNIDADE;1
200;ANIMAL;206;PASSARO;DUZIA;12
200;ANIMAL;206;PASSARO;PREENCHIMENTO OPCIONAL;1
200;ANIMAL;207;PEIXES EM GERAL;GRAMA;1
200;ANIMAL;207;PEIXES EM GERAL;QUILOGRAMA;1000
200;ANIMAL;207;PEIXES EM GERAL;UNIDADE;1
200;ANIMAL;207;PEIXES EM GERAL;DUZIA;12
200;ANIMAL;207;PEIXES EM GERAL;MILHEIRO;1000
200;ANIMAL;207;PEIXES EM GERAL;PREENCHIMENTO OPCIONAL;1
200;ANIMAL;208;REBANHO BOVINO;QUILOGRAMA;1000
200;ANIMAL;208;REBANHO BOVINO;ARROBA;15000
200;ANIMAL;208;REBANHO BOVINO;UNIDADE;1
200;ANIMAL;208;REBANHO BOVINO;DUZIA;12
200;ANIMAL;208;REBANHO BOVINO;PREENCHIMENTO OPCIONAL;1
200;ANIMAL;209;REBANHO EQUIDEO;UNIDADE;1
200;ANIMAL;209;REBANHO EQUIDEO;PREENCHIMENTO OPCIONAL;1
200;ANIMAL;210;REBANHO SUINO;QUILOGRAMA;1000
200;ANIMAL;210;REBANHO SUINO;ARROBA;15000
200;ANIMAL;210;REBANHO SUINO;UNIDADE;1
200;ANIMAL;210;REBANHO SUINO;PREENCHIMENTO OPCIONAL;1
200;ANIMAL;299;OUTROS - ANIMAIS;LITRO;1000
200;ANIMAL;299;OUTROS - ANIMAIS;GRAMA;1
200;ANIMAL;299;OUTROS - ANIMAIS;QUILOGRAMA;1000
200;ANIMAL;299;OUTROS - ANIMAIS;ARROBA;15000
200;ANIMAL;299;OUTROS - ANIMAIS;UNIDADE;1
200;ANIMAL;299;OUTROS - ANIMAIS;PREENCHIMENTO OPCIONAL;1
300;BEBIDA;399;OUTROS - BEBIDA;MILIMETRO;0.001
300;BEBIDA;399;OUTROS - BEBIDA;METRO CUBICO;3000
300;BEBIDA;399;OUTROS - BEBIDA;LITRO;1000
300;BEBIDA;399;OUTROS - BEBIDA;ESTEREO;1
300;BEBIDA;399;OUTROS - BEBIDA;MILIGRAMA;0.001
300;BEBIDA;399;OUTROS - BEBIDA;GRAMA;1
300;BEBIDA;399;OUTROS - BEBIDA;QUILOGRAMA;1000
300;BEBIDA;399;OUTROS - BEBIDA;TONELADA;100000
300;BEBIDA;399;OUTROS - BEBIDA;UNIDADE;1
