Número REDS;Data Fato;Município;Código da Infração;AIT/ AINA - Número Documento;AIT/AINA - Órgão Origem -Autoridade Responsável;Qtde Infrações
2019-000000750-001;01/01/2019;ITAUNA;55421;AM00050940;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-000001005-001;01/01/2019;ITAUNA;54600;AM00050939;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-000004052-001;01/01/2019;POMPEU;50371;AM00226995;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-000004052-001;01/01/2019;POMPEU;52151;AM00226993;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-000004052-001;01/01/2019;POMPEU;52152;AM00226994;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-000006876-001;01/01/2019;PEQUI;50100;AK00168569;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-000006876-001;01/01/2019;PEQUI;51691;AK00168571;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-000006876-001;01/01/2019;PEQUI;65992;AK00168570;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-000015052-001;01/01/2019;DIVINOPOLIS;50371;AM00051337;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-000015052-001;01/01/2019;DIVINOPOLIS;50450;AM00051336;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-000015052-001;01/01/2019;DIVINOPOLIS;51691;AM00051335;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-000015052-001;01/01/2019;DIVINOPOLIS;65992;AM00051334;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-000020278-001;01/01/2019;ITAPECERICA;51691;AM00310036;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-000030351-001;01/01/2019;LAGOA DA PRATA;50100;ac01217991;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-000030351-001;01/01/2019;LAGOA DA PRATA;51851;ac01217993;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
