Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Logradouro Ocorrência - Tipo;Logradouro Ocorrência;Logradouro Ocorrência Não Cadastrado;Logradouro Cruzamento;Logradouro Cruzamento Não Cadastrado;Número Logradouro;Bairro;Bairro Não Cadastrado;Complemento Endereço;Ponto de Referência;Município;Latitude;Longitude;Data Fato;Horário Fato;Descrição Longa Tipo Material;Descrição Longa Unidade Medida;Situação Material;Qtde Materiais;Qtde/Volume Material
2019-000002720-001;POLICIA MILITAR;3 PEL/280 CIA PM/60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;B01147;CONSUMADO;RUA;SINFRONIO LEITE;;PREENCHIMENTO OPCIONAL;;285;CENTRO;;;;CONCEICAO DO PARA;-19,75116180;-44,89312680;01/01/2019;00:49:43;OUTROS - INSTRUMENTO PERFURANTE, CORTANTE OU CONTUNDENTE;UNIDADE;APREENDIDO;1;1,00
2019-000002733-001;POLICIA MILITAR;2 PEL/241 CIA PM/63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;I04033;CONSUMADO;FAZENDA;PAUS SECOS - PROXIMO COMUNIDADE DA ILHA;PAUS SECOS - PROXIMO COMUNIDADE DA ILHA;PREENCHIMENTO OPCIONAL;;0.00000;INVÁLIDO;ZONA RURAL;;"""GRÊMIO RECREATIVO DA QUÍMICA""";ARCOS;-20,22294400;-45,54388900;01/01/2019;00:47:08;BOLSA / MOCHILA;PREENCHIMENTO OPCIONAL;APREENDIDO;1;0,00
2019-000002733-001;POLICIA MILITAR;2 PEL/241 CIA PM/63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;I04033;CONSUMADO;FAZENDA;PAUS SECOS - PROXIMO COMUNIDADE DA ILHA;PAUS SECOS - PROXIMO COMUNIDADE DA ILHA;PREENCHIMENTO OPCIONAL;;0.00000;INVÁLIDO;ZONA RURAL;;"""GRÊMIO RECREATIVO DA QUÍMICA""";ARCOS;-20,22294400;-45,54388900;01/01/2019;00:47:08;ECSTASY / MDMA;UNIDADE;APREENDIDO;2;3,00
2019-000002733-001;POLICIA MILITAR;2 PEL/241 CIA PM/63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;I04033;CONSUMADO;FAZENDA;PAUS SECOS - PROXIMO COMUNIDADE DA ILHA;PAUS SECOS - PROXIMO COMUNIDADE DA ILHA;PREENCHIMENTO OPCIONAL;;0.00000;INVÁLIDO;ZONA RURAL;;"""GRÊMIO RECREATIVO DA QUÍMICA""";ARCOS;-20,22294400;-45,54388900;01/01/2019;00:47:08;HAXIXE EM BOLA;UNIDADE;APREENDIDO;1;3,00
2019-000002733-001;POLICIA MILITAR;2 PEL/241 CIA PM/63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;I04033;CONSUMADO;FAZENDA;PAUS SECOS - PROXIMO COMUNIDADE DA ILHA;PAUS SECOS - PROXIMO COMUNIDADE DA ILHA;PREENCHIMENTO OPCIONAL;;0.00000;INVÁLIDO;ZONA RURAL;;"""GRÊMIO RECREATIVO DA QUÍMICA""";ARCOS;-20,22294400;-45,54388900;01/01/2019;00:47:08;MOEDA NACIONAL (REAL);PREENCHIMENTO OPCIONAL;APREENDIDO;1;0,00
2019-000002733-001;POLICIA MILITAR;2 PEL/241 CIA PM/63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;I04033;CONSUMADO;FAZENDA;PAUS SECOS - PROXIMO COMUNIDADE DA ILHA;PAUS SECOS - PROXIMO COMUNIDADE DA ILHA;PREENCHIMENTO OPCIONAL;;0.00000;INVÁLIDO;ZONA RURAL;;"""GRÊMIO RECREATIVO DA QUÍMICA""";ARCOS;-20,22294400;-45,54388900;01/01/2019;00:47:08;OUTROS - LSD;PREENCHIMENTO OPCIONAL;APREENDIDO;1;0,00
2019-000002971-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;I04028;CONSUMADO;RUA;CHIQUINHO DA QUITA;;AMERICO SILVINO;;;VOLTA DO BREJO;;;;POMPEU;-19,21768870;-44,98779800;01/01/2019;00:00:00;BUCHA DE MACONHA;UNIDADE;APREENDIDO;1;1,00
2019-000005148-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;23 BPM/7 RPM;E99000;CONSUMADO;AVENIDA;VINTE E UM DE ABRIL;;PREENCHIMENTO OPCIONAL;;1045;CENTRO;;;;DIVINOPOLIS;-20,14044100;-44,88888080;01/01/2019;00:07:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);UNIDADE;APREENDIDO;1;0,00
2019-000006196-001;POLICIA MILITAR;63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;I04028;CONSUMADO;RUA;COMERCIO;;PREENCHIMENTO OPCIONAL;;1060;LAVA PÉS;;;;BAMBUI;-20,01958170;-45,98755320;01/01/2019;01:28:00;CRACK EM PEDRAS;PREENCHIMENTO OPCIONAL;APREENDIDO;1;0,00
2019-000006863-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;ALAMEDA;RIO CAIAPO;;PREENCHIMENTO OPCIONAL;;640;FABIO NOTINI;;;;DIVINOPOLIS;-20,14659680;-44,91945680;01/01/2019;00:42:47;ASPIRADOR DE PO;PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;0,00
