Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Data Fato;Horário Fato;Município;Situação Veículo;Tipo Veículo;Ano Modelo;Marca / Modelo;Qtde Veículos
2018-057375780-002;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;06/01/2019;09:30:00;DIVINOPOLIS;ROUBADO;MOTONETA;2014;HONDA/BIZ 125 ES;1
2019-000000750-001;POLICIA MILITAR;INVÁLIDO;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;01/01/2019;00:17:27;ITAUNA;APREENDIDO;AUTOMOVEL;2003;GM/CELTA 3 PORTAS SUPER;1
2019-000001005-001;POLICIA MILITAR;INVÁLIDO;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;01/01/2019;00:23:10;ITAUNA;APREENDIDO;AUTOMOVEL;2014;I/AUDI A5 SPB 225CV.;1
2019-000004052-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;E08034;CONSUMADO;01/01/2019;00:00:00;POMPEU;APREENDIDO;AUTOMOVEL;;GM/VECTRA HATCH 4P GT-X;1
2019-000008938-001;POLICIA MILITAR;50 CIA PM/7 BPM/7 RPM;50 CIA PM/7 BPM/7 RPM;C01155;CONSUMADO;01/01/2019;01:56:18;BOM DESPACHO;FURTADO;AUTOMOVEL;1997;VW/GOL I;1
2019-000013000-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;01/01/2019;02:53:50;DIVINOPOLIS;FURTADO;AUTOMOVEL;1995;VW/GOL CLI;1
2019-000013761-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;01/01/2019;03:27:11;ITAUNA;APREENDIDO;AUTOMOVEL;1986;GM/CHEVETTE SL;1
2019-000016085-001;POLICIA MILITAR;3 PEL/280 CIA PM/60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01155;CONSUMADO;01/01/2019;03:41:49;PITANGUI;FURTADO;AUTOMOVEL;1997;GM/CORSA SUPER;1
2019-000020278-001;POLICIA MILITAR;3 PEL/290 CIA PM/63 BPM/7 RPM;290 CIA PM/63 BPM/7 RPM;T10306;CONSUMADO;01/01/2019;03:50:00;ITAPECERICA;APREENDIDO;AUTOMOVEL;1990;VW/PARATI CL;1
2019-000026760-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;E03014;CONSUMADO;01/01/2019;07:19:32;LAGOA DA PRATA;APREENDIDO;MOTOCICLETA;2000;HONDA/CG 125 TITAN ES;1
