UEOP;COD_MUNI;MUNICIPIO;COMPANHIA;FRACAO;POP2017;POP2018;POP2019;REDUCAO_PERC_CV;REDUCAO_PERC_HC;REDUCAO_PERC_TQF
07º BPM;310020;ABAETE;141ª CIA PM;141ª CIA PM;23611;23223;23237;0.905;0.875;0.935
07º BPM;310700;BIQUINHAS;141ª CIA PM;2º GP - 4º PEL - 141ª CIA PM;2619;2532;2515;0.905;0.875;0.935
07º BPM;310740;BOM DESPACHO;50ª CIA PM;50ª CIA PM;50042;50166;50605;0.905;0.875;0.935
07º BPM;311560;CEDRO DO ABAETE;141ª CIA PM;2º GP - 1º PEL - 141ª CIA PM;1209;1171;1164;0.905;0.875;0.935
07º BPM;311980;CORREGO DANTA;107ª CIA PM;2º GP - 3º PEL - 107ª CIA PM;3359;3241;3215;0.905;0.875;0.935
07º BPM;312320;DORES DO INDAIA;141ª CIA PM;2º PEL - 141ª CIA PM;13923;13541;13483;0.905;0.875;0.935
07º BPM;312470;ESTRELA DO INDAIA;141ª CIA PM;2º GP - 2º PEL - 141ª CIA PM;3590;3508;3500;0.905;0.875;0.935
07º BPM;313530;JAPARAIBA;107ª CIA PM;2º GP - 2º PEL - 107ª CIA PM;4308;4314;4350;0.905;0.875;0.935
07º BPM;313720;LAGOA DA PRATA;107ª CIA PM;107ª CIA PM;51204;51601;52165;0.905;0.875;0.935
07º BPM;313880;LUZ;107ª CIA PM;3º PEL - 107ª CIA PM;18400;18172;18215;0.905;0.875;0.935
07º BPM;314050;MARTINHO CAMPOS;50ª CIA PM;3º PEL - 50ª CIA PM;13436;13330;13388;0.905;0.875;0.935
07º BPM;314240;MOEMA;50ª CIA PM;2º GP - 2º PEL - 50ª CIA PM;7525;7479;7517;0.905;0.875;0.935
07º BPM;314350;MORADA NOVA DE MINAS;141ª CIA PM;4º PEL - 141ª CIA PM;8860;8815;8863;0.905;0.875;0.935
07º BPM;314640;PAINEIRAS;141ª CIA PM;3º GP - 1º PEL - 141ª CIA PM;4650;4510;4486;0.905;0.875;0.935
07º BPM;314890;PEDRA DO INDAIA;107ª CIA PM;2º GP - 4º PEL - 107ª CIA PM;4034;3969;3972;0.905;0.875;0.935
07º BPM;315200;POMPEU;141ª CIA PM;3º PEL - 141ª CIA PM;31612;31583;31812;0.905;0.875;0.935
07º BPM;315370;QUARTEL GERAL;141ª CIA PM;3º GP - 2º PEL - 141ª CIA PM;3557;3542;3563;0.905;0.875;0.935
07º BPM;316040;SANTO ANTONIO DO MONTE;107ª CIA PM;4º PEL - 107ª CIA PM;28115;28054;28243;0.905;0.875;0.935
07º BPM;316660;SERRA DA SAUDADE;141ª CIA PM;4º GP - 2º PEL - 141ª CIA PM;812;786;781;0.905;0.875;0.935
19ª CIA PM IND;313020;IGARATINGA;19ª CIA PM IND;1º GP - 3º PEL - 19ª CIA PM IND;10547;10709;10860;0.905;0.875;0.935
19ª CIA PM IND;313970;MARAVILHAS;19ª CIA PM IND;2º GP - 4º PEL - 19ª CIA PM IND;7876;7904;7976;0.905;0.875;0.935
19ª CIA PM IND;314580;ONCA DO PITANGUI;19ª CIA PM IND;4º GP - 3º PEL - 19ª CIA PM IND;3192;3144;3148;0.905;0.875;0.935
19ª CIA PM IND;314690;PAPAGAIOS;19ª CIA PM IND;1º GP - 4º PEL - 19ª CIA PM IND;15516;15543;15674;0.905;0.875;0.935
19ª CIA PM IND;314710;PARA DE MINAS;19ª CIA PM IND;19ª CIA PM IND;92739;93101;93969;0.905;0.875;0.935
19ª CIA PM IND;314960;PEQUI;19ª CIA PM IND;2º GP - 3º PEL - 19ª CIA PM IND;4395;4379;4406;0.905;0.875;0.935
19ª CIA PM IND;316310;SAO JOSE DA VARGINHA;19ª CIA PM IND;3º GP - 3º PEL - 19ª CIA PM IND;4834;4927;5004;0.905;0.875;0.935
23º BPM;311420;CARMO DO CAJURU;142ª CIA PM;3º PEL - 142ª CIA PM;22136;22257;22478;0.8998;0.87;0.93
23º BPM;311660;CLAUDIO;139ª CIA PM;3º PEL - 139ª CIA PM;28287;28366;28617;0.8998;0.87;0.93
23º BPM;312230;DIVINOPOLIS;139ª Cia PM;139ª CIA PM;73275;73600;74303;0.8998;0.87;0.93
23º BPM;312230;DIVINOPOLIS;142ª Cia PM;142ª CIA PM;93378;93791;94686;0.8998;0.87;0.93
23º BPM;312230;DIVINOPOLIS;53ª Cia PM;53ª CIA PM;68284;68586;69241;0.8998;0.87;0.93
23º BPM;313370;ITATIAIUCU;51ª CIA PM;2º GP - 3º PEL - 51ª CIA PM;10979;11037;11146;0.8998;0.87;0.93
23º BPM;313380;ITAUNA;51ª CIA PM;51ª CIA PM;92696;92561;93214;0.8998;0.87;0.93
23º BPM;316180;SAO GONCALO DO PARA;142ª CIA PM;2º GP - 3º PEL - 142ª CIA PM;11985;12218;12411;0.8998;0.87;0.93
60º BPM;310390;ARAUJOS;279ª CIA PM;2º GP - 3º PEL - 279ª CIA PM;8996;9142;9273;0.8758;0.87;0.935
60º BPM;311760;CONCEICAO DO PARA;280ª CIA PM;2º GP - 3º PEL - 280ª CIA PM;5515;5480;5507;0.8758;0.87;0.935
60º BPM;313830;LEANDRO FERREIRA;280ª CIA PM;3º GP - 3º PEL - 280ª CIA PM;3300;3233;3229;0.8758;0.87;0.935
60º BPM;314520;NOVA SERRANA;279ª CIA PM;279ª CIA PM;59670;59670;61418;0.8758;0.87;0.935
60º BPM;314520;NOVA SERRANA;280ª CIA PM;280ª CIA PM;40100;40100;41275;0.8758;0.87;0.935
60º BPM;314970;PERDIGAO;279ª CIA PM;3º PEL - 279ª CIA PM;10846;11249;11506;0.8758;0.87;0.935
60º BPM;315140;PITANGUI;280ª CIA PM;3º PEL - 280ª CIA PM;27706;27755;27989;0.8758;0.87;0.935
63º BPM;310420;ARCOS;241ª CIA PM;241ª CIA PM;39811;39793;40092;0.935;0.9;0.935
63º BPM;310510;BAMBUI;241ª CIA PM;3º PEL - 241ª CIA PM;24018;23757;23829;0.935;0.9;0.935
63º BPM;311040;CAMACHO;290ª CIA PM;2º GP - 3º PEL - 290ª CIA PM;3064;2934;2901;0.935;0.9;0.935
63º BPM;311995;CORREGO FUNDO;290ª CIA PM;2º GP - 2º PEL - 290ª CIA PM;6295;6290;6337;0.935;0.9;0.935
63º BPM;312610;FORMIGA;290ª CIA PM;290ª CIA PM;68423;67540;67683;0.935;0.9;0.935
63º BPM;313030;IGUATAMA;241ª CIA PM;2º GP - 2º PEL - 241ª CIA PM;8172;7971;7947;0.935;0.9;0.935
63º BPM;313350;ITAPECERICA;290ª CIA PM;3º PEL - 290ª CIA PM;22158;21763;21762;0.935;0.9;0.935
63º BPM;314130;MEDEIROS;241ª CIA PM;2º GP - 3º PEL - 241ª CIA PM;3765;3771;3802;0.935;0.9;0.935
63º BPM;314650;PAINS;241ª CIA PM;3º GP - 2º PEL - 241ª CIA PM;8391;8270;8283;0.935;0.9;0.935
63º BPM;315050;PIMENTA;290ª CIA PM;3º GP - 2º PEL - 290ª CIA PM;8720;8631;8660;0.935;0.9;0.935
63º BPM;316460;SAO SEBASTIAO DO OESTE;290ª CIA PM;3º GP - 3º PEL - 290ª CIA PM;6589;6684;6775;0.935;0.9;0.935
63º BPM;316820;TAPIRAI;241ª CIA PM;3º GP - 3º PEL - 241ª CIA PM;1921;1879;1875;0.935;0.9;0.935
