NOM_UNID_RESPONSAVEL;COMPANHIA;CIA_SEDE
139 CIA PM/23 BPM/7 RPM;139ª CIA PM;
10BBM/3CIA PV (DIVINOPOLIS);BOMBEIROS;
142 CIA PM/23 BPM/7 RPM;142ª CIA PM;
2 GP/3 PEL/142 CIA PM/23 BPM/7 RPM;142ª CIA PM;
23 BPM/7 RPM;23º BPM;
1 GP/1 PEL RV/7 CIA PM RV/BPMRV/CPRV;7ª CIA PRV;
3 PEL/142 CIA PM/23 BPM/7 RPM;142ª CIA PM;
51 CIA PM/23 BPM/7 RPM;51ª CIA PM;
2 GP/1 PEL RV/7 CIA PM RV/BPMRV/CPRV;7ª CIA PRV;
53 CIA PM/23 BPM/7 RPM;53ª CIA PM;
10BBM/2CIA/2PEL (ITAUNA);BOMBEIROS;
240 CIA TM/23 BPM/7 RPM;240ª CIA PM TM;
7 CIA PM IND PE/7 RPM;7 ª CIA PM IND PE;
3 PEL/139 CIA PM/23 BPM/7 RPM;139ª CIA PM;
10BBM/1CIA/4PEL(SEDE);BOMBEIROS;
2 GP/3 PEL/51 CIA PM/23 BPM/7 RPM;51ª CIA PM;
10BBM/1CIA/1PEL (DIVINOPOLIS);BOMBEIROS;
10BBM/1CIA (DIVINOPOLIS);BOMBEIROS;
1 PEL MAMB/7 CIA PM MAMB/BPM MAMB;7ª CIA MAMB;
10BBM/1CIA/2PEL (DIVINOPOLIS);BOMBEIROS;
NUCLEO DE APOIO ADMINISTRATIVO E DE FISCALIZACAO;DER;
3 GP/1 PEL MAMB/7 CIA PM MAMB/BPM MAMB;7ª CIA MAMB;
SGP/139 CIA/23 BPM/7 RPM;139ª CIA PM;
10BBM/1CIA/3PEL (DIVINOPOLIS);BOMBEIROS;
2 GP/3 PEL/107 CIA PM/7 BPM/7 RPM;107ª CIA PM;
2 CIA ROTAM/BTL ROTAM/CPE;ROTAM;
10BBM/2CIA/1PEL(PARA DE MINAS);BOMBEIROS;
7 RPM;7ª RPM;
2 PEL/142 CIA PM/23 BPM/7 RPM;142ª CIA PM;
10 BBM;BOMBEIROS;
7 CIA PM RV/BPMRV/CPRV;7ª CIA PRV;
10BBM/1CIA/6PEL (OLIVEIRA);BOMBEIROS;
2 GP/1 PEL MAMB/7 CIA PM MAMB/BPM MAMB;7ª CIA MAMB;
1 GP/3 PEL/142 CIA PM/23 BPM/7 RPM;142ª CIA PM;
1 GP/3 PEL/139 CIA PM/23 BPM/7 RPM;139ª CIA PM;
COORDENADORIA OESTE - FORMIGA;DER;
1 CIA IND/1CIA (POCOS DE CALDAS);OUTRA;
10BBM/2CIA/3PEL (NOVA SERRANA);BOMBEIROS;
NUCLEO DE APOIO ADMINISTRATIVO E FISCALIZACAO;DER;
1 PEL/142 CIA PM/23 BPM/7 RPM;142ª CIA PM;
3 PEL/53 CIA PM/23 BPM/7 RPM;53ª CIA PM;
10BBM/1CIA/5PEL (FORMIGA);BOMBEIROS;
10BBM/PROTOCOLO;BOMBEIROS;
1 PEL/139 CIA PM/23 BPM/7 RPM;139ª CIA PM;
BPTRAN/1 RPM;OUTRA;
7 CIA PM MAMB/BPM MAMB/CPMAMB;7ª CIA MAMB;
REGIONAL OLIVEIRA;DER;
10BBM/2CIA/3PEL/PA (BOM DESPACHO);BOMBEIROS;
2 PEL RV/2 CIA PM RV/BPMRV/CPRV;7ª CIA PRV;
10BBM/2CIA/2PEL/GPV (ITAUNA);BOMBEIROS;
1 PEL RV/1 CIA PM RV/BPMRV/CPRV;7ª CIA PRV;
10BBM/SUBCMT (DIVINOPOLIS);BOMBEIROS;
2BBM/1CIA/6PEL(JUATUBA);BOMBEIROS;
EM7RPM/7 RPM;7ª RPM;
1 PEL RV/7 CIA PM RV/BPMRV/CPRV;7ª CIA PRV;
1 GP/3 PEL MAMB/7 CIA PM MAMB/BPM MAMB;7ª CIA MAMB;
2 CIA IND/1CIA/2PEL (SAO JOAO DEL REI);OUTRA;
2 BBM;BOMBEIROS;
2 BPE/2 RPM;BOMBEIROS;
2 PEL/53 CIA PM/23 BPM/7 RPM;53ª CIA PM;
