MUNICIPIO;VALIDADOR;VALIDADOR_TIPO;CIA_BASE;BAIRRO;TIPO;SETOR;SUBSETOR;COD_SETOR;OBSERVACAO
ARAUJOS;MALAQUIAS;LOGRADOURO;280ª CIA PM;ZONA RURAL;RURAL;ZONA RURAL;ZONA RURAL;60;ZONA RUAL 279ª CIA PM
CARMO DO CAJURU;JARDIM ALVORADA;BAIRRO;142ª CIA PM;JARDIM ALVORADA;URBANO;PORTO VELHO;;;
CARMO DO CAJURU;CHACARAS BELA VISTA;BAIRRO;142ª CIA PM;CHACARAS BELA VISTA;RURAL;NITEROI;;;AO  DOS ESTRELA OESTE CLUBE  SEDE CAMPESTRE
CARMO DO CAJURU;2018-009340806-001;N_RAT;142ª CIA PM;CHACARAS BELA VISTA;RURAL;NITEROI;;;KM 109 CARMO DO CAJURU / BALANÇA
NOVA SERRANA;POVOADO DE CUNHA - ZONA RURAL DE CONCEI¿¿O DO PAR¿;BAIRRO_NAO_CAD;280ª CIA PM;CUNHAS;RURAL;ZONA RURAL;ZONA RURAL;60;CONCEICAO DO PARA
DIVINOPOLIS;2015-028254501-001;N_REDS;53ª CIA PM;JARDIM BRASILIA;URBANO;ALTO GOIAS;LP PEREIRA;23.53.2;POSTO PRATINHA
DIVINOPOLIS;2016-005035783-001;N_REDS;53ª CIA PM;ORION;URBANO;ALTO GOIAS;LP PEREIRA;23.53.2;
DIVINOPOLIS;2016-011200695-001;N_REDS;53ª CIA PM;ORION;URBANO;ALTO GOIAS;LP PEREIRA;23.53.2;
DIVINOPOLIS;2018-001153165-001;N_REDS;53ª CIA PM;LP PEREIRA;URBANO;ALTO GOIAS;LP PEREIRA;23.53.2;
DIVINOPOLIS;2018-007709637-001;N_RAT;53ª CIA PM;IPIRANGA;URBANO;ALTO GOIAS;IPIRANGA;23.53.2;
DIVINOPOLIS;2018-014215927-001;N_REDS;53ª CIA PM;ORION;URBANO;ALTO GOIAS;LP PEREIRA;23.53.2;
DIVINOPOLIS;2018-025276030-001;N_REDS;53ª CIA PM;CENTRO;URBANO;HIPER CENTRO;CENTRO;23.53.1;
DIVINOPOLIS;2018-025281151-001;N_REDS;53ª CIA PM;CENTRO;URBANO;HIPER CENTRO;CENTRO;23.53.1;
DIVINOPOLIS;2018-031990366-001;N_REDS;53ª CIA PM;LP PEREIRA;URBANO;ALTO GOIAS;LP PEREIRA;23.53.2;
DIVINOPOLIS;ABATEDOURO  UAI AGROINDUSTRIA  - BR 494 PROXIMO XAVANTE;LOGRADOURO;53ª CIA PM;CHACARAS XAVANTE;RURAL;ALTO GOIAS;LP PEREIRA;23.53.2;
