Número REDS;Órgão Unidade Registro
2018-000013878-001;POLICIA MILITAR
2018-000016724-001;POLICIA MILITAR
2018-000026381-001;POLICIA MILITAR
2018-000039155-001;POLICIA MILITAR
2018-000067770-001;POLICIA MILITAR
2018-000097581-001;POLICIA MILITAR
2018-000143463-001;POLICIA CIVIL
2018-000647570-001;POLICIA MILITAR
2018-000131534-001;POLICIA MILITAR
2018-000132567-001;POLICIA MILITAR
2018-000135820-001;POLICIA MILITAR
2018-000152921-001;POLICIA MILITAR
2018-000167917-001;POLICIA MILITAR
2018-000192215-001;POLICIA MILITAR
2018-000205467-001;POLICIA MILITAR
2018-000224710-001;POLICIA MILITAR
2018-000355787-001;POLICIA CIVIL
2018-000276786-001;POLICIA MILITAR
2018-000279751-001;POLICIA MILITAR
2018-000300824-001;POLICIA MILITAR
2018-000308742-001;POLICIA MILITAR
2018-000316002-001;POLICIA MILITAR
2018-000330075-001;POLICIA MILITAR
2018-000343910-001;POLICIA MILITAR
2018-000345831-001;POLICIA MILITAR
2018-000362027-001;POLICIA MILITAR
2018-000376178-001;POLICIA MILITAR
2018-000386894-001;POLICIA MILITAR
2018-000405695-001;POLICIA MILITAR
2018-000408303-001;POLICIA MILITAR
2018-000417830-001;POLICIA MILITAR
2018-000455350-001;POLICIA CIVIL
2018-000642313-001;POLICIA CIVIL
2018-002082772-001;POLICIA CIVIL
2018-004896414-001;POLICIA CIVIL
2018-000421356-001;POLICIA MILITAR
2018-000436943-001;POLICIA MILITAR
2018-000443190-001;POLICIA MILITAR
2018-000469811-001;POLICIA MILITAR
2018-000469956-001;POLICIA MILITAR
2018-000471403-001;POLICIA MILITAR
2018-000473562-001;POLICIA MILITAR
2018-000477680-001;POLICIA MILITAR
2018-000483345-001;POLICIA MILITAR
2018-000520646-001;POLICIA MILITAR
2018-000792990-001;POLICIA MILITAR
2018-000607210-001;POLICIA MILITAR
2018-000607277-001;POLICIA MILITAR
2018-000614303-001;POLICIA MILITAR
